country,period,treatment,theta,theta_star,z,benefit,n_agents,n_join,join_fraction,n_valid,n_api_error,n_unparseable,join_fraction_valid,api_error_rate,unparseable_rate,coup_success,theoretical_attack,direction_transform,degrade_messages,no_peer_messages,beliefs_include_messages,belief_order,second_order_order,message_stage_context,decision_context,message_bundle_mode,message_source_country,message_source_period
0,0,communication,-1.5690379156212926,0.5430661838642469,0.02481260212133443,1.1885007515024986,25,25,1.0,25,0,0,1.0,0.0,0.0,True,0.9999999999995614,logistic,False,False,False,post,post,none,none,exact,0,0
0,1,communication,0.27413995296177207,0.5052839828099566,-0.04417378248669119,1.0213616807475503,25,3,0.12,25,0,0,0.12,0.0,0.0,False,0.7833993922170609,logistic,False,False,False,post,post,none,none,exact,0,1
0,2,communication,-0.6921698666414775,0.4802610662052737,-0.14928959424293253,0.9240428895691607,25,23,0.92,25,0,0,0.92,0.0,0.0,True,0.9999429819015426,logistic,False,False,False,post,post,none,none,exact,0,2
0,3,communication,-0.05931788553484087,0.5274901519415617,-0.12699129873537982,1.116358006312545,25,4,0.16,25,0,0,0.16,0.0,0.0,True,0.978565753446258,logistic,False,False,False,post,post,none,none,exact,0,3
0,4,communication,0.7879336174018815,0.5189048065643461,-0.0672271240003965,1.078590710621492,25,0,0.0,25,0,0,0.0,0.0,0.0,False,0.19784116073966723,logistic,False,False,False,post,post,none,none,exact,0,4
0,5,communication,1.690847318114246,0.518472663039974,-0.16111230334916,1.0767252931332845,25,1,0.04,25,0,0,0.04,0.0,0.0,False,5.63246293204109e-05,logistic,False,False,False,post,post,none,none,exact,0,5
0,6,communication,-1.0228733453805763,0.4717785779603876,-0.020547806503192878,0.8931454845937846,25,25,1.0,25,0,0,1.0,0.0,0.0,True,0.999999547796543,logistic,False,False,False,post,post,none,none,exact,0,6
0,7,communication,0.26474965699684816,0.532296304090835,-0.06594115645229179,1.1381058322750879,25,2,0.08,25,0,0,0.08,0.0,0.0,False,0.8346899517273453,logistic,False,False,False,post,post,none,none,exact,0,7
0,8,communication,1.4514390127670076,0.5694789192634964,-0.1431316388582483,1.3227666303570405,25,0,0.0,25,0,0,0.0,0.0,0.0,False,0.002847716904980911,logistic,False,False,False,post,post,none,none,exact,0,8
0,9,communication,-0.15891057641466977,0.5351152497134072,-0.09646564183913495,1.151070774817885,25,9,0.36,25,0,0,0.36,0.0,0.0,True,0.991837206302061,logistic,False,False,False,post,post,none,none,exact,0,9
1,0,communication,0.7097084955846482,0.27379540127644914,0.6094133780351484,0.37702240079131843,25,7,0.28,25,0,0,0.28,0.0,0.0,False,0.019967635283422585,logistic,False,False,False,post,post,none,none,exact,1,0
1,1,communication,-0.830613638819826,0.169969516905282,0.5982634291415865,0.20477502979355774,25,25,1.0,25,0,0,1.0,0.0,0.0,True,0.9913669439943049,logistic,False,False,False,post,post,none,none,exact,1,1
1,2,communication,0.7050103806377809,0.3089523978946154,0.6734793711630473,0.4470783155217436,25,11,0.44,25,0,0,0.44,0.0,0.0,False,0.03445455068493822,logistic,False,False,False,post,post,none,none,exact,1,2
1,3,communication,0.09850675372657325,0.18501374528821177,0.6633991738155245,0.22701455910276677,25,21,0.84,25,0,0,0.84,0.0,0.0,True,0.2715721050595087,logistic,False,False,False,post,post,none,none,exact,1,3
1,4,communication,1.358107885350414,0.33886993263370246,0.6012319221333524,0.5125616718411211,25,1,0.04,25,0,0,0.04,0.0,0.0,False,6.864252840514062e-05,logistic,False,False,False,post,post,none,none,exact,1,4
1,5,communication,1.352838775020095,0.26980808052488187,0.7915601727063262,0.3695029667252786,25,0,0.0,25,0,0,0.0,0.0,0.0,False,1.2027090195027694e-05,logistic,False,False,False,post,post,none,none,exact,1,5
1,6,communication,-0.6843674900942175,0.4026942782828795,0.5786114081019585,0.67418453170886,25,25,1.0,25,0,0,1.0,0.0,0.0,True,0.999633807607018,logistic,False,False,False,post,post,none,none,exact,1,6
1,7,communication,0.3214726599226475,0.3785083933497861,0.6473309019251252,0.6090321885277158,25,13,0.52,25,0,0,0.52,0.0,0.0,True,0.4525261601454273,logistic,False,False,False,post,post,none,none,exact,1,7
1,8,communication,1.867534843223956,0.4108969880083319,0.5683209997811228,0.6974959890616608,25,0,0.0,25,0,0,0.0,0.0,0.0,False,1.8802555601192466e-07,logistic,False,False,False,post,post,none,none,exact,1,8
1,9,communication,0.6746305465806953,0.3422971761540511,0.6606553351746252,0.5204435251660496,25,9,0.36,25,0,0,0.36,0.0,0.0,False,0.06501549749219618,logistic,False,False,False,post,post,none,none,exact,1,9
2,0,communication,-1.7569881192258414,0.323148297435986,-0.34295049179236037,0.4774285064392284,25,24,0.96,25,0,0,0.96,0.0,0.0,True,0.9999999999525547,logistic,False,False,False,post,post,none,none,exact,2,0
2,1,communication,-0.7641311816275873,0.43539405104229495,-0.20911475844444144,0.7711467650067403,25,20,0.8,25,0,0,0.8,0.0,0.0,True,0.9999374116813814,logistic,False,False,False,post,post,none,none,exact,2,1
2,2,communication,-0.17756057974176928,0.35115000808967634,-0.4149208844403616,0.5411882753605831,25,3,0.12,25,0,0,0.12,0.0,0.0,True,0.9162299353267715,logistic,False,False,False,post,post,none,none,exact,2,2
2,3,communication,-0.9109036544272889,0.4196904630415693,-0.2748634266192891,0.7232182763035185,25,23,0.92,25,0,0,0.92,0.0,0.0,True,0.9999884511972148,logistic,False,False,False,post,post,none,none,exact,2,3
2,4,communication,-0.11950279292547811,0.38355920473428146,-0.2897014795064702,0.6222158034965015,25,2,0.08,25,0,0,0.08,0.0,0.0,True,0.9163185564214765,logistic,False,False,False,post,post,none,none,exact,2,4
2,5,communication,-0.8031768675703878,0.3727979442860278,-0.36209052108912565,0.5943825293455953,25,21,0.84,25,0,0,0.84,0.0,0.0,True,0.9998380930970819,logistic,False,False,False,post,post,none,none,exact,2,5
2,6,communication,0.9797735031078545,0.3213327814991275,-0.34036939930439103,0.4734762085738113,25,0,0.0,25,0,0,0.0,0.0,0.0,False,0.003921236391542151,logistic,False,False,False,post,post,none,none,exact,2,6
2,7,communication,-0.8523355093681437,0.4227315895907434,-0.3451025534662288,0.7322964187336117,25,24,0.96,25,0,0,0.96,0.0,0.0,True,0.9999749664331777,logistic,False,False,False,post,post,none,none,exact,2,7
2,8,communication,0.5250375428876748,0.390041696044012,-0.3294563190079161,0.6394563259723336,25,0,0.0,25,0,0,0.0,0.0,0.0,False,0.2329407304135951,logistic,False,False,False,post,post,none,none,exact,2,8
2,9,communication,-1.7994803480647013,0.45207505493370426,-0.3361313121563118,0.8250674823337452,25,24,0.96,25,0,0,0.96,0.0,0.0,True,0.9999999999999236,logistic,False,False,False,post,post,none,none,exact,2,9
3,0,communication,0.6227198878386024,0.13658108350857923,0.07416744194980034,0.15818634604809045,25,1,0.04,25,0,0,0.04,0.0,0.0,False,0.0033010811780194594,logistic,False,False,False,post,post,none,none,exact,3,0
3,1,communication,-1.4611806082069945,0.1777397889426446,0.05091655468097324,0.21616002641558765,25,25,1.0,25,0,0,1.0,0.0,0.0,True,0.9999971746558032,logistic,False,False,False,post,post,none,none,exact,3,1
3,2,communication,1.8565684261076598,0.0380715989423558,0.047714263646553304,0.03957841238547061,25,1,0.04,25,0,0,0.04,0.0,0.0,False,2.3409999221550043e-15,logistic,False,False,False,post,post,none,none,exact,3,2
3,3,communication,0.9990980978734606,0.10440949073030244,0.07989947478983683,0.11658172976335174,25,0,0.0,25,0,0,0.0,0.0,0.0,False,1.1220138520085862e-05,logistic,False,False,False,post,post,none,none,exact,3,3
3,4,communication,0.13709783129675548,0.07721972465379907,0.13288710922326294,0.0836815943262641,25,6,0.24,25,0,0,0.24,0.0,0.0,True,0.05222868610929,logistic,False,False,False,post,post,none,none,exact,3,4
3,5,communication,0.33417649738301536,0.007177220913186206,-0.012960210845332262,0.007229105802535801,25,2,0.08,25,0,0,0.08,0.0,0.0,False,0.00020138155259707998,logistic,False,False,False,post,post,none,none,exact,3,5
3,6,communication,1.607012631583919,1.0,0.13485679903755,-0.1459122816024149,25,0,0.0,25,0,0,0.0,0.0,0.0,False,0.0,logistic,False,False,False,post,post,none,none,exact,3,6
3,7,communication,0.930620186324557,0.06597114771202565,0.08801524350086845,0.0706307386013016,25,0,0.0,25,0,0,0.0,0.0,0.0,False,5.702820185245747e-06,logistic,False,False,False,post,post,none,none,exact,3,7
3,8,communication,1.5649643479829936,0.21962841886214002,0.08953023089374398,0.2814408214890396,25,0,0.0,25,0,0,0.0,0.0,0.0,False,7.285411708650976e-08,logistic,False,False,False,post,post,none,none,exact,3,8
3,9,communication,-1.438378815496846,0.23724138656586252,0.007584615786663397,0.3110307538812838,25,25,1.0,25,0,0,1.0,0.0,0.0,True,0.9999994425628533,logistic,False,False,False,post,post,none,none,exact,3,9
4,0,communication,-0.19120323304437575,0.33983980221973165,0.2056277370072197,0.5147838408956094,25,16,0.64,25,0,0,0.64,0.0,0.0,True,0.9126480056614639,logistic,False,False,False,post,post,none,none,exact,4,0
4,1,communication,0.2839733571106892,0.13398641272287068,0.2503084412666769,0.15471629393730776,25,9,0.36,25,0,0,0.36,0.0,0.0,True,0.05395050671533694,logistic,False,False,False,post,post,none,none,exact,4,1
4,2,communication,0.6082873743407289,0.024749511624488647,0.23191454204450263,0.025377594699505623,25,5,0.2,25,0,0,0.2,0.0,0.0,False,4.626393691882217e-05,logistic,False,False,False,post,post,none,none,exact,4,2
4,3,communication,-0.1705659009515738,0.00028887124713402804,0.23687123248428954,0.00028895471784373683,25,20,0.8,25,0,0,0.8,0.0,0.0,True,0.00203723556046353,logistic,False,False,False,post,post,none,none,exact,4,3
4,4,communication,2.3710073062198886,0.2874117574078682,0.213513427445856,0.4033349699433305,25,0,0.0,25,0,0,0.0,0.0,0.0,False,3.041552610293317e-14,logistic,False,False,False,post,post,none,none,exact,4,4
4,5,communication,-0.13617038636590195,0.23230580794411523,0.3803420402974743,0.30260201307762974,25,25,1.0,25,0,0,1.0,0.0,0.0,True,0.6903983047442288,logistic,False,False,False,post,post,none,none,exact,4,5
4,6,communication,0.24101815924157466,0.28366847433426545,0.19093058002726288,0.39600166148018334,25,3,0.12,25,0,0,0.12,0.0,0.0,False,0.33366686335934925,logistic,False,False,False,post,post,none,none,exact,4,6
4,7,communication,-0.13408209591449918,0.3765108557586958,0.24815013095858604,0.6038771632774055,25,22,0.88,25,0,0,0.88,0.0,0.0,True,0.9173277439129639,logistic,False,False,False,post,post,none,none,exact,4,7
4,8,communication,2.6162111965883925,0.17935440417941734,0.24954224024729887,0.2185528138977907,25,0,0.0,25,0,0,0.0,0.0,0.0,False,7.7847116710316e-20,logistic,False,False,False,post,post,none,none,exact,4,8
4,9,communication,-0.8090012924673505,0.3303109607422282,0.24649627632023133,0.49323035226665457,25,24,0.96,25,0,0,0.96,0.0,0.0,True,0.9996083830206454,logistic,False,False,False,post,post,none,none,exact,4,9
