country,period,treatment,theta,theta_star,z,benefit,n_agents,n_join,join_fraction,n_valid,n_api_error,n_unparseable,join_fraction_valid,api_error_rate,unparseable_rate,coup_success,theoretical_attack,direction_transform,degrade_messages,no_peer_messages,beliefs_include_messages,belief_order,second_order_order,message_stage_context,decision_context,message_bundle_mode,message_source_country,message_source_period
0,0,communication,-3.0213767901175865,0.3973590094970381,-0.40664875972548564,0.6593627313094049,25,24,0.96,25,0,0,0.96,0.0,0.0,True,1.0,logistic,False,False,False,post,post,full,none,live,,
0,1,communication,-0.29262760550268996,0.4281891055381076,-0.4645363516969937,0.7488299185713463,25,0,0.0,25,0,0,0.0,0.0,0.0,True,0.986849421207569,logistic,False,False,False,post,post,full,none,live,,
0,2,communication,-1.658398467571994,0.3978274025898599,-0.43605831759341973,0.6606534477006423,25,25,1.0,25,0,0,1.0,0.0,0.0,True,0.9999999999787532,logistic,False,False,False,post,post,full,none,live,,
0,3,communication,-1.3840643081562272,0.3643242873163725,-0.5019365143741891,0.5731291601157883,25,20,0.8,25,0,0,0.8,0.0,0.0,True,0.9999999788581414,logistic,False,False,False,post,post,full,none,live,,
0,4,communication,-0.5326107398654707,0.4603870616181516,-0.5433625482356969,0.8531801757732618,25,1,0.04,25,0,0,0.04,0.0,0.0,True,0.9993375570956972,logistic,False,False,False,post,post,full,none,live,,
0,5,communication,0.08908187880002494,0.4086273404974504,-0.35453395135710974,0.6909811164438668,25,0,0.0,25,0,0,0.0,0.0,0.0,False,0.7978803996680625,logistic,False,False,False,post,post,full,none,live,,
0,6,communication,-0.36839290555678644,0.4727339706957598,-0.49029545481856374,0.8965758164233739,25,0,0.0,25,0,0,0.0,0.0,0.0,True,0.9968843687784583,logistic,False,False,False,post,post,full,none,live,,
0,7,communication,-0.3308307109747615,0.4096947410142364,-0.5444478116700642,0.6940387787128236,25,0,0.0,25,0,0,0.0,0.0,0.0,True,0.9874573911496193,logistic,False,False,False,post,post,full,none,live,,
0,8,communication,-0.3854830193686982,0.49955326983011517,-0.45791012325661135,0.9982146744380439,25,0,0.0,25,0,0,0.0,0.0,0.0,True,0.998405986191949,logistic,False,False,False,post,post,full,none,live,,
0,9,communication,1.4160088386730458,0.4975524005951674,-0.37298168448385427,0.9902572948592774,25,0,0.0,25,0,0,0.0,0.0,0.0,False,0.001078721490722271,logistic,False,False,False,post,post,full,none,live,,
1,0,communication,3.0272116352472365,0.21559605917473476,-0.056095010555097184,0.27485336056306375,25,0,0.0,25,0,0,0.0,0.0,0.0,False,1.5076212272666263e-24,logistic,False,False,False,post,post,full,none,live,,
1,1,communication,-0.5970618637895556,0.09883663191942779,-0.12012584676689972,0.10967670837524644,25,18,0.72,25,0,0,0.72,0.0,0.0,True,0.8488357292245636,logistic,False,False,False,post,post,full,none,live,,
1,2,communication,-0.9924996735935405,0.1584384623976217,-0.057756436985537944,0.18826723337311171,25,23,0.92,25,0,0,0.92,0.0,0.0,True,0.9977127583621928,logistic,False,False,False,post,post,full,none,live,,
1,3,communication,0.20561828379973898,0.2753670905600344,-0.06985581785455267,0.38000908732236927,25,0,0.0,25,0,0,0.0,0.0,0.0,False,0.3578676579440646,logistic,False,False,False,post,post,full,none,live,,
1,4,communication,-0.02762814051485113,0.22548733519536168,-0.07621332335639426,0.2911344713158928,25,1,0.04,25,0,0,0.04,0.0,0.0,True,0.5358274489001992,logistic,False,False,False,post,post,full,none,live,,
1,5,communication,0.016896854126626268,0.18107209387202797,-0.06753711209787479,0.2211087111784566,25,2,0.08,25,0,0,0.08,0.0,0.0,True,0.35791549804772915,logistic,False,False,False,post,post,full,none,live,,
1,6,communication,1.1066429022863087,0.15592188201740328,0.018246476680410635,0.1847244688561137,25,0,0.0,25,0,0,0.0,0.0,0.0,False,1.4547861459418863e-05,logistic,False,False,False,post,post,full,none,live,,
1,7,communication,0.6080854939096059,0.35432847671723555,0.005871109808681496,0.5487751340120066,25,0,0.0,25,0,0,0.0,0.0,0.0,False,0.1113239807305822,logistic,False,False,False,post,post,full,none,live,,
1,8,communication,-0.05489066547864537,0.2044289340290917,0.00028732754176936937,0.25695873413848747,25,6,0.24,25,0,0,0.24,0.0,0.0,True,0.5153528773244433,logistic,False,False,False,post,post,full,none,live,,
1,9,communication,-0.6321298285369745,1.0,-0.05061195172448035,-0.06887798418161772,25,16,0.64,25,0,0,0.64,0.0,0.0,True,0.0,logistic,False,False,False,post,post,full,none,live,,
2,0,communication,-1.2761595836331572,0.47614848855705644,-0.16997924233429632,0.9089378920479018,25,23,0.92,25,0,0,0.92,0.0,0.0,True,0.9999999962916138,logistic,False,False,False,post,post,full,none,live,,
2,1,communication,-0.7269790281168091,0.3829180734777859,-0.21084641088207773,0.6205303656126466,25,11,0.44,25,0,0,0.44,0.0,0.0,True,0.999665320209409,logistic,False,False,False,post,post,full,none,live,,
2,2,communication,-1.1303678410666524,0.35816258182521055,-0.12682297687398048,0.5580269577360061,25,24,0.96,25,0,0,0.96,0.0,0.0,True,0.9999978711946771,logistic,False,False,False,post,post,full,none,live,,
2,3,communication,0.30123244378565983,0.47571787257129217,-0.23964572742943036,0.907369997341709,25,0,0.0,25,0,0,0.0,0.0,0.0,False,0.6987170588971431,logistic,False,False,False,post,post,full,none,live,,
2,4,communication,-0.34766482987206127,0.4117522317500821,-0.1987879610137693,0.6999639505222033,25,4,0.16,25,0,0,0.16,0.0,0.0,True,0.9895101700841787,logistic,False,False,False,post,post,full,none,live,,
2,5,communication,0.6470554625595346,0.3465028410225407,-0.2010948689140202,0.5302285346805806,25,0,0.0,25,0,0,0.0,0.0,0.0,False,0.08126371148622508,logistic,False,False,False,post,post,full,none,live,,
2,6,communication,1.2226007459457569,0.36384195979253847,-0.22562662749080614,0.5719364321385982,25,0,0.0,25,0,0,0.0,0.0,0.0,False,0.000661974373855173,logistic,False,False,False,post,post,full,none,live,,
2,7,communication,-1.3391620444850452,0.44980374866096,-0.22503427938678033,0.8175332848347298,25,24,0.96,25,0,0,0.96,0.0,0.0,True,0.9999999973435354,logistic,False,False,False,post,post,full,none,live,,
2,8,communication,-0.19937675749484857,0.4513835373224148,-0.25750255250316056,0.8227670294824659,25,1,0.04,25,0,0,0.04,0.0,0.0,True,0.9796726454287991,logistic,False,False,False,post,post,full,none,live,,
2,9,communication,0.3401323978127339,0.43749071799584666,-0.24731160660903334,0.7777484425450181,25,0,0.0,25,0,0,0.0,0.0,0.0,False,0.5663910979374627,logistic,False,False,False,post,post,full,none,live,,
3,0,communication,-1.0739222311117123,0.26485225441721655,-0.12681349995881813,0.36027078367390863,25,25,1.0,25,0,0,1.0,0.0,0.0,True,0.9999369938374261,logistic,False,False,False,post,post,full,none,live,,
3,1,communication,-0.2827381529463176,0.30884751420201795,-0.16728831236323577,0.44685871865950494,25,9,0.36,25,0,0,0.36,0.0,0.0,True,0.9296018938716497,logistic,False,False,False,post,post,full,none,live,,
3,2,communication,0.20812565079252887,0.3296311585698845,-0.06964941540944736,0.49171610939833316,25,0,0.0,25,0,0,0.0,0.0,0.0,False,0.48567565955034936,logistic,False,False,False,post,post,full,none,live,,
3,3,communication,0.9603879503713051,0.15933457334204532,-0.15867453221219988,0.18953387196554056,25,0,0.0,25,0,0,0.0,0.0,0.0,False,0.0001225269229501768,logistic,False,False,False,post,post,full,none,live,,
