analyst_model,corpus,arm,country,period,theta,theta_star,coup_success,n_senders_shown,jf_true_shown,n_join_true_shown,fall_est,join_pct_est,n_sender_parsed,n_sender_imputed_p,sender_accuracy,n_top5_join_true,parse_ok_fall,parse_ok_join_pct,api_error
deepseek/deepseek-v4-flash-20260423,nested,surveillance,0,3,-0.05931788553484087,0.5,True,24,0.125,3,35.0,17.0,24,0,0.875,2,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,0,6,-1.0228733453805763,0.5,True,25,0.96,24,70.0,50.0,25,0,0.56,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,0,13,-0.8930585297314593,0.5,True,25,0.88,22,75.0,64.0,25,0,0.68,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,0,14,2.0074252072990673,0.5,False,25,0.0,0,15.0,0.0,25,0,1.0,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,0,16,0.2964098962195181,0.5,False,25,0.0,0,20.0,8.0,25,0,0.92,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,0,20,-0.7665054199611054,0.5,True,24,0.8333333333333334,20,45.0,38.0,24,0,0.4583333333333333,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,0,27,0.09467516706652017,0.5,False,25,0.08,2,15.0,8.0,25,0,0.92,1,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,0,28,-1.5072403235405762,0.5,True,25,1.0,25,80.0,56.0,25,0,0.56,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,0,32,-0.5250476615988334,0.5,True,25,0.44,11,45.0,36.0,25,0,0.76,4,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,0,39,0.5899429458324532,0.5,False,25,0.0,0,15.0,8.0,25,0,0.92,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,0,41,-0.9145352910176325,0.5,True,25,0.88,22,40.0,4.0,25,0,0.16,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,0,43,-0.4643991929485848,0.5,True,25,0.6,15,65.0,24.0,25,0,0.56,4,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,0,44,0.7887529830650717,0.5,False,25,0.0,0,10.0,0.0,25,0,1.0,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,0,46,-0.07351007756029697,0.5,True,25,0.08,2,30.0,12.0,25,0,0.8,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,0,47,-0.9101164676919695,0.5,True,25,0.84,21,65.0,52.0,25,0,0.68,4,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,1,1,-0.3378740388789836,0.5,True,25,0.2,5,35.0,12.0,25,0,0.84,3,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,1,3,-0.6791631723600354,0.5,True,25,0.88,22,55.0,40.0,25,0,0.44,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,1,9,-0.20266414707239716,0.5,True,25,0.16,4,45.0,28.0,25,0,0.72,2,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,1,16,-1.0961691134753955,0.5,True,24,0.875,21,70.0,0.0,24,0,0.125,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,1,17,-2.099965396867324,0.5,True,24,1.0,24,45.0,54.0,24,0,0.5416666666666666,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,1,18,-0.6000943059599797,0.5,True,25,0.64,16,45.0,28.0,25,0,0.64,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,1,22,-1.4861986063419097,0.5,True,25,1.0,25,90.0,16.0,25,0,0.16,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,1,24,-1.0003226918160606,0.5,True,25,0.96,24,60.0,24.0,25,0,0.28,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,1,35,-0.5516234080266305,0.5,True,25,0.52,13,45.0,44.0,25,0,0.44,3,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,1,38,-0.14003934783348204,0.5,True,25,0.0,0,25.0,0.0,25,0,1.0,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,1,41,-1.1900587995424072,0.5,True,25,0.88,22,75.0,60.0,25,0,0.56,4,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,1,43,-0.9574069281331359,0.5,True,25,0.96,24,65.0,68.0,25,0,0.72,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,1,46,1.3117334924521664,0.5,False,25,0.0,0,10.0,0.0,25,0,1.0,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,1,47,0.8041116867287721,0.5,False,25,0.0,0,15.0,4.0,25,0,0.96,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,1,48,0.09363864994630233,0.5,False,25,0.0,0,10.0,0.0,25,0,1.0,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,1,49,-2.262934389963411,0.5,True,25,1.0,25,80.0,76.0,25,0,0.76,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,2,5,0.34657635709286444,0.5,False,24,0.20833333333333334,5,35.0,8.0,24,0,0.7916666666666666,1,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,2,6,0.2651009207009588,0.5,True,25,0.56,14,40.0,20.0,25,0,0.56,4,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,2,7,0.294719645533276,0.5,True,25,0.36,9,40.0,20.0,25,0,0.68,3,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,2,16,2.1412361421175943,0.5,False,25,0.0,0,5.0,0.0,25,0,1.0,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,2,17,1.3232987521158015,0.5,False,25,0.0,0,10.0,0.0,25,0,1.0,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,2,19,-0.9575477351814627,0.5,True,25,1.0,25,85.0,56.0,25,0,0.56,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,2,20,0.9142081044434013,0.5,False,25,0.0,0,20.0,0.0,25,0,1.0,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,2,21,1.1107591088737003,0.5,False,25,0.0,0,10.0,4.0,25,0,0.96,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,2,25,-1.7731534815382262,0.5,True,25,0.96,24,75.0,0.0,25,0,0.04,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,2,27,1.825339850615107,0.5,False,25,0.0,0,5.0,0.0,25,0,1.0,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,2,30,2.0824125885080784,0.5,False,23,0.0,0,20.0,17.0,23,0,0.8260869565217391,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,2,32,-1.3403874126524813,0.5,True,25,0.96,24,85.0,72.0,25,0,0.68,4,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,2,34,1.3643238035776122,0.5,False,25,0.0,0,10.0,0.0,25,0,1.0,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,2,37,2.035517246634966,0.5,False,25,0.0,0,10.0,8.0,25,0,0.92,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,2,41,-0.7633835547494222,0.5,True,25,0.96,24,40.0,0.0,25,0,0.04,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,2,42,1.2428138197325753,0.5,False,24,0.0,0,5.0,0.0,24,0,1.0,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,2,44,0.7212318143017875,0.5,False,25,0.0,0,15.0,8.0,25,0,0.92,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,2,45,0.9389379389456558,0.5,False,25,0.0,0,15.0,16.0,25,0,0.84,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,2,49,-0.32551748673213143,0.5,True,25,0.96,24,75.0,72.0,25,0,0.76,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,3,5,-0.5792967882495909,0.5,True,25,0.6,15,35.0,16.0,25,0,0.56,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,3,10,-0.4152459341694415,0.5,True,25,0.32,8,35.0,20.0,25,0,0.72,3,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,3,16,0.701625929228615,0.5,False,25,0.0,0,5.0,0.0,25,0,1.0,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,3,25,0.1904934972645524,0.5,False,25,0.0,0,10.0,4.0,25,0,0.96,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,3,31,-2.1441670807986255,0.5,True,25,1.0,25,75.0,25.0,25,0,0.24,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,3,38,-1.4889472868287064,0.5,True,25,0.96,24,65.0,36.0,25,0,0.4,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,3,42,0.6417407923813057,0.5,False,25,0.0,0,10.0,0.0,25,0,1.0,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,3,46,-0.7056649662989343,0.5,True,25,0.68,17,70.0,20.0,25,0,0.44,4,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,3,49,-0.7290745189225067,0.5,True,24,0.5416666666666666,13,45.0,25.0,24,0,0.625,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,4,0,0.9539815113140867,0.5,False,25,0.0,0,10.0,0.0,25,0,1.0,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,4,2,0.4226476003682104,0.5,False,25,0.0,0,30.0,0.0,25,0,1.0,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,4,3,-0.9288259850693965,0.5,True,25,0.92,23,75.0,0.0,25,0,0.08,4,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,4,7,-0.2240495282482836,0.5,True,24,0.9583333333333334,23,80.0,75.0,24,0,0.7916666666666666,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,4,10,-0.023114228700863826,0.5,True,24,0.2916666666666667,7,30.0,0.0,24,0,0.7083333333333334,3,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,4,11,0.2952434741670339,0.5,False,24,0.125,3,35.0,17.0,24,0,0.9583333333333334,3,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,4,13,-1.2981974443659685,0.5,True,24,0.9583333333333334,23,75.0,46.0,24,0,0.5,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,4,16,1.1374000529803254,0.5,False,25,0.0,0,5.0,0.0,25,0,1.0,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,4,17,1.3886919277632213,0.5,False,25,0.0,0,15.0,16.0,25,0,1.0,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,4,19,0.48877417553730773,0.5,False,25,0.04,1,20.0,8.0,25,0,0.96,1,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,4,23,1.0976604806712023,0.5,False,25,0.0,0,10.0,4.0,25,0,0.96,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,4,27,0.49547089364662705,0.5,False,25,0.0,0,15.0,16.0,25,0,0.84,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,4,28,0.559962199705418,0.5,False,25,0.0,0,15.0,0.0,25,0,1.0,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,4,35,2.226496962900631,0.5,False,25,0.0,0,5.0,0.0,25,0,1.0,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,4,42,-0.35771847753113584,0.5,True,24,0.625,15,45.0,46.0,24,0,0.6666666666666666,3,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,5,0,-0.1368443034004615,0.5,True,25,0.44,11,45.0,28.0,25,0,0.84,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,5,2,1.5580717747283643,0.5,False,25,0.0,0,10.0,0.0,25,0,1.0,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,5,3,2.110563823106477,0.5,False,24,0.0,0,10.0,0.0,24,0,1.0,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,5,7,1.0106840362003036,0.5,False,25,0.0,0,10.0,12.0,25,0,0.88,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,5,10,-0.1504808840362103,0.5,True,25,0.64,16,45.0,32.0,25,0,0.68,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,5,13,0.418234772896538,0.5,False,25,0.0,0,25.0,20.0,25,0,0.8,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,5,15,-0.23370361150236602,0.5,True,25,0.72,18,30.0,8.0,25,0,0.36,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,5,17,0.08028112594422965,0.5,True,25,0.44,11,35.0,20.0,25,0,0.6,3,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,5,20,-0.03220013453415588,0.5,True,25,0.56,14,65.0,20.0,25,0,0.64,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,5,26,0.7382557569234605,0.5,False,24,0.0,0,10.0,0.0,24,0,1.0,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,5,29,-0.6589027755612061,0.5,True,25,0.96,24,65.0,24.0,25,0,0.28,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,5,36,0.6910599137220369,0.5,False,25,0.0,0,10.0,0.0,25,0,1.0,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,5,40,-0.020688606147564542,0.5,True,25,0.2,5,30.0,0.0,25,0,0.8,3,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,6,3,-1.1097853967719007,0.5,True,24,0.9166666666666666,22,75.0,8.0,24,0,0.16666666666666666,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,6,5,-0.2697594372110288,0.5,True,25,0.28,7,30.0,12.0,25,0,0.84,4,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,6,7,-1.931471335070416,0.5,True,24,1.0,24,85.0,42.0,24,0,0.4166666666666667,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,6,8,-0.4206713065272364,0.5,True,24,0.2916666666666667,7,35.0,34.0,24,0,0.7083333333333334,3,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,6,9,-0.24218397485109688,0.5,True,25,0.12,3,35.0,0.0,25,0,0.88,3,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,6,12,0.40081007697251214,0.5,False,25,0.0,0,10.0,4.0,25,0,0.96,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,6,21,0.3977302686352774,0.5,False,25,0.0,0,15.0,0.0,25,0,1.0,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,6,23,-0.017164445877998924,0.5,True,23,0.17391304347826086,4,30.0,22.0,23,0,0.8695652173913043,3,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,6,28,1.3174126638585848,0.5,False,25,0.0,0,10.0,0.0,25,0,1.0,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,6,41,-1.2536436060629899,0.5,True,25,0.96,24,85.0,76.0,25,0,0.8,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,6,44,-2.0240479725206293,0.5,True,25,0.92,23,90.0,0.0,25,0,0.08,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,7,0,1.3049332485859126,0.5,False,25,0.0,0,5.0,0.0,25,0,1.0,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,7,4,0.2000217664595827,0.5,False,25,0.0,0,20.0,4.0,25,0,0.96,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,7,9,0.46834432757851746,0.5,False,25,0.0,0,5.0,0.0,25,0,1.0,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,7,11,-1.1519747213213098,0.5,True,25,0.92,23,70.0,32.0,25,0,0.4,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,7,13,0.04811376488391661,0.5,False,25,0.0,0,20.0,16.0,25,0,0.84,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,7,14,-0.7526144891557325,0.5,True,25,0.8,20,45.0,60.0,25,0,0.72,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,7,15,-1.476088567512342,0.5,True,25,0.92,23,85.0,20.0,25,0,0.28,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,7,16,-1.1883576148737443,0.5,True,25,0.88,22,75.0,48.0,25,0,0.6,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,7,18,-0.7413325743259457,0.5,True,25,0.88,22,75.0,52.0,25,0,0.56,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,7,19,-0.09995496113532798,0.5,True,25,0.04,1,25.0,12.0,25,0,0.84,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,7,22,-1.2439560610979195,0.5,True,24,1.0,24,65.0,58.0,24,0,0.5833333333333334,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,7,24,0.30812423442611425,0.5,False,25,0.0,0,15.0,16.0,25,0,0.84,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,7,25,-1.3072513093185745,0.5,True,24,0.9583333333333334,23,80.0,46.0,24,0,0.4166666666666667,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,7,30,-0.03773672303000669,0.5,True,25,0.0,0,25.0,8.0,25,0,0.92,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,7,31,-0.34299579581083484,0.5,True,24,0.125,3,30.0,13.0,24,0,0.9166666666666666,2,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,7,32,-0.6678466040988508,0.5,True,24,0.25,6,45.0,13.0,24,0,0.7916666666666666,3,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,7,36,-1.2995511655672702,0.5,True,24,0.9166666666666666,22,45.0,58.0,24,0,0.5833333333333334,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,7,39,0.26557189205220355,0.5,False,25,0.0,0,25.0,12.0,25,0,0.88,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,7,41,-0.4411122530486368,0.5,True,25,0.24,6,35.0,8.0,25,0,0.84,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,7,46,-0.5344223446825542,0.5,True,25,0.36,9,25.0,20.0,25,0,0.76,4,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,8,1,-0.4583179603724244,0.5,True,25,0.6,15,60.0,20.0,25,0,0.6,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,8,4,0.9620631080145644,0.5,False,24,0.0,0,15.0,25.0,24,0,0.75,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,8,7,-1.2499300914328872,0.5,True,23,1.0,23,85.0,83.0,23,0,0.8260869565217391,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,8,17,0.18571177321764426,0.5,False,25,0.16,4,20.0,30.0,25,0,0.76,2,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,8,18,1.4787593022658594,0.5,False,25,0.0,0,5.0,0.0,25,0,1.0,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,8,20,0.9102006804382363,0.5,False,25,0.0,0,10.0,0.0,25,0,1.0,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,8,30,0.10218200758693097,0.5,True,25,0.24,6,35.0,24.0,25,0,0.6,1,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,8,38,-0.42319782551808693,0.5,True,25,0.72,18,65.0,12.0,25,0,0.32,4,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,8,40,-0.29149011739265995,0.5,True,25,0.64,16,45.0,16.0,25,0,0.52,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,8,41,1.453402299643935,0.5,False,25,0.0,0,10.0,0.0,25,0,1.0,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,8,42,-0.25178831573635885,0.5,True,25,0.44,11,30.0,24.0,25,0,0.72,4,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,8,46,0.9887701869668631,0.5,False,25,0.0,0,10.0,6.0,25,0,1.0,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,8,47,0.16641936695780446,0.5,True,25,0.28,7,20.0,12.0,25,0,0.76,4,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,8,48,-0.17043136175685014,0.5,True,25,0.52,13,65.0,16.0,25,0,0.64,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,8,49,0.7793871877743668,0.5,False,24,0.0,0,20.0,4.0,24,0,0.9583333333333334,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,9,0,-0.010296821634601563,0.5,True,25,0.08,2,30.0,16.0,25,0,0.84,1,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,9,6,-1.145940873122229,0.5,True,25,0.96,24,90.0,0.0,25,0,0.04,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,9,13,-1.4222976135283831,0.5,True,25,0.96,24,75.0,28.0,25,0,0.32,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,9,15,1.2583020873123933,0.5,False,25,0.0,0,15.0,0.0,25,0,1.0,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,9,16,0.6255868892392404,0.5,False,25,0.0,0,15.0,0.0,25,0,1.0,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,9,17,1.5209593916345718,0.5,False,25,0.0,0,5.0,0.0,25,0,1.0,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,9,18,-0.36255557832680807,0.5,True,24,0.5416666666666666,13,40.0,8.0,24,0,0.4583333333333333,3,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,9,21,-0.2227704956233143,0.5,True,25,0.6,15,40.0,16.0,25,0,0.56,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,9,22,1.4499230965012095,0.5,False,25,0.0,0,5.0,0.0,25,0,1.0,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,9,25,-1.1439001147514898,0.5,True,25,1.0,25,65.0,52.0,25,0,0.52,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,9,32,0.23760404667781349,0.5,False,25,0.08,2,20.0,4.0,25,0,0.96,2,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,9,33,2.153162774019493,0.5,False,25,0.0,0,5.0,0.0,25,0,1.0,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,9,35,-0.08026005418880072,0.5,True,24,0.20833333333333334,5,35.0,38.0,24,0,0.6666666666666666,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,9,36,-1.0334868366810606,0.5,True,24,0.9583333333333334,23,75.0,67.0,24,0,0.7083333333333334,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,9,40,1.2084264915489593,0.5,False,24,0.0,0,10.0,0.0,24,0,1.0,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,9,43,0.35890537503505404,0.5,False,25,0.0,0,30.0,12.0,25,0,0.88,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,surveillance,9,46,0.777011197068841,0.5,False,24,0.0,0,5.0,0.0,24,0,1.0,0,True,True,False
