analyst_model,corpus,arm,country,period,theta,theta_star,coup_success,n_senders_shown,jf_true_shown,n_join_true_shown,fall_est,join_pct_est,n_sender_parsed,n_sender_imputed_p,sender_accuracy,n_top5_join_true,parse_ok_fall,parse_ok_join_pct,api_error
deepseek/deepseek-v4-flash-20260423,nested,baseline,0,6,-1.0228733453805763,0.5,True,24,1.0,24,85.0,83.0,24,0,0.8333333333333334,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,baseline,0,8,1.4514390127670076,0.5,False,24,0.0,0,10.0,15.0,24,0,0.9583333333333334,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,baseline,0,13,-0.8930585297314593,0.5,True,25,0.96,24,90.0,76.0,25,0,0.72,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,baseline,0,16,0.2964098962195181,0.5,False,24,0.0,0,20.0,42.0,24,0,0.5833333333333334,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,baseline,0,20,-0.7665054199611054,0.5,True,24,1.0,24,88.0,96.0,24,0,0.9583333333333334,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,baseline,0,28,-1.5072403235405762,0.5,True,25,1.0,25,85.0,72.0,25,0,0.72,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,baseline,0,32,-0.5250476615988334,0.5,True,25,0.88,22,85.0,76.0,25,0,0.8,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,baseline,0,35,1.5852483184685613,0.5,False,21,0.0,0,10.0,5.0,21,0,0.9523809523809523,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,baseline,0,37,-0.010820192566592751,0.5,True,25,0.12,3,40.0,52.0,25,0,0.52,1,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,baseline,0,39,0.5899429458324532,0.5,False,24,0.0,0,30.0,25.0,24,0,0.75,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,baseline,0,41,-0.9145352910176325,0.5,True,25,0.92,23,85.0,84.0,25,0,0.76,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,baseline,0,43,-0.4643991929485848,0.5,True,24,0.8333333333333334,20,75.0,59.0,24,0,0.6666666666666666,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,baseline,0,45,0.07173313772629476,0.5,False,21,0.0,0,10.0,14.0,21,0,0.8571428571428571,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,baseline,0,47,-0.9101164676919695,0.5,True,25,0.96,24,90.0,100.0,25,0,0.96,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,baseline,1,1,-0.3378740388789836,0.5,True,24,0.4166666666666667,10,65.0,50.0,24,0,0.6666666666666666,3,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,baseline,1,3,-0.6791631723600354,0.5,True,25,0.88,22,70.0,28.0,25,0,0.4,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,baseline,1,9,-0.20266414707239716,0.5,True,23,0.4782608695652174,11,65.0,30.0,23,0,0.5652173913043478,3,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,baseline,1,11,-0.08100878193289476,0.5,True,24,0.125,3,65.0,50.0,24,0,0.625,1,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,baseline,1,16,-1.0961691134753955,0.5,True,21,1.0,21,85.0,76.0,21,0,0.7619047619047619,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,baseline,1,17,-2.099965396867324,0.5,True,24,1.0,24,85.0,88.0,24,0,0.875,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,baseline,1,18,-0.6000943059599797,0.5,True,25,0.96,24,75.0,60.0,25,0,0.56,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,baseline,1,22,-1.4861986063419097,0.5,True,25,1.0,25,90.0,92.0,25,0,0.92,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,baseline,1,24,-1.0003226918160606,0.5,True,24,1.0,24,90.0,75.0,24,0,0.75,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,baseline,1,31,0.7828785600388035,0.5,False,24,0.0,0,15.0,8.0,24,0,0.9166666666666666,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,baseline,1,35,-0.5516234080266305,0.5,True,22,0.9090909090909091,20,85.0,55.0,22,0,0.6363636363636364,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,baseline,1,38,-0.14003934783348204,0.5,True,25,0.28,7,75.0,68.0,25,0,0.52,1,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,baseline,1,41,-1.1900587995424072,0.5,True,22,1.0,22,95.0,80.0,22,0,0.9545454545454546,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,baseline,1,43,-0.9574069281331359,0.5,True,23,0.9565217391304348,22,85.0,87.0,23,0,0.8260869565217391,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,baseline,1,47,0.8041116867287721,0.5,False,25,0.0,0,27.0,28.0,25,0,0.72,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,baseline,1,48,0.09363864994630233,0.5,True,25,0.12,3,30.0,28.0,25,0,0.76,2,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,baseline,1,49,-2.262934389963411,0.5,True,25,1.0,25,85.0,60.0,25,0,0.6,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,baseline,2,5,0.34657635709286444,0.5,True,24,0.5833333333333334,14,65.0,54.0,24,0,0.7083333333333334,4,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,baseline,2,6,0.2651009207009588,0.5,True,25,0.64,16,75.0,44.0,25,0,0.72,4,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,baseline,2,7,0.294719645533276,0.5,True,25,0.92,23,70.0,60.0,25,0,0.68,5,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,baseline,2,8,2.0810628556019632,0.5,False,25,0.0,0,15.0,16.0,25,0,0.84,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,baseline,2,14,2.650433883673073,0.5,False,25,0.0,0,15.0,8.0,25,0,0.92,0,True,True,False
deepseek/deepseek-v4-flash-20260423,nested,baseline,2,16,2.1412361421175943,0.5,False,25,0.0,0,25.0,20.0,25,0,0.8,0,True,True,False
