country,period,treatment,theta,theta_star,z,benefit,n_agents,n_join,join_fraction,n_valid,n_api_error,n_unparseable,join_fraction_valid,api_error_rate,unparseable_rate,coup_success,theoretical_attack,direction_transform,degrade_messages,no_peer_messages,beliefs_include_messages,belief_order,second_order_order,message_stage_context,decision_context,message_bundle_mode,message_source_country,message_source_period
0,0,communication,2.1678730363541105,0.2954453318567355,-0.05167382084572852,0.41933627753163866,25,0,0.0,25,0,0,0.0,0.0,0.0,False,6.0517210596335936e-12,logistic,False,False,False,post,post,full,none,live,,
0,1,communication,-0.9003028580775392,0.13499759782278312,-0.10167637423392319,0.15606615366962365,25,19,0.76,25,0,0,0.76,0.0,0.0,True,0.9905609123844319,logistic,False,False,False,post,post,full,none,live,,
0,2,communication,-1.6880383935027823,0.2844702238914825,0.03319712363378008,0.3975658783043288,25,23,0.92,25,0,0,0.92,0.0,0.0,True,0.9999999990457907,logistic,False,False,False,post,post,full,none,live,,
0,3,communication,1.1904525520757698,0.285595442728154,-0.07310581926926982,0.3997671064960451,25,0,0.0,25,0,0,0.0,0.0,0.0,False,0.00017016806960311922,logistic,False,False,False,post,post,full,none,live,,
0,4,communication,-0.5546117119233646,0.01651725067204613,-0.0008034374425243546,0.016794652151583656,25,16,0.64,25,0,0,0.64,0.0,0.0,True,0.4098617925320202,logistic,False,False,False,post,post,full,none,live,,
0,5,communication,0.9068441666948505,0.21343867829476695,-0.050120890756607396,0.2713566919767178,25,0,0.0,25,0,0,0.0,0.0,0.0,False,0.0009485103264889647,logistic,False,False,False,post,post,full,none,live,,
0,6,communication,0.012954278935226285,0.36102342864128606,-0.04882044144128024,0.5650026070182967,25,0,0.0,25,0,0,0.0,0.0,0.0,False,0.7894475822831812,logistic,False,False,False,post,post,full,none,live,,
0,7,communication,-0.7858716585003764,0.2391638934746768,0.030867369714855417,0.3143435115966287,25,22,0.88,25,0,0,0.88,0.0,0.0,True,0.9966133618815918,logistic,False,False,False,post,post,full,none,live,,
0,8,communication,-0.36387314575900176,0.13667223699428024,-0.10097806990303966,0.1583086318438884,25,9,0.36,25,0,0,0.36,0.0,0.0,True,0.7167086461574352,logistic,False,False,False,post,post,full,none,live,,
0,9,communication,0.9990597503117002,0.22653933729853834,0.025340326324356552,0.2928905737847167,25,0,0.0,25,0,0,0.0,0.0,0.0,False,0.0004415216213721304,logistic,False,False,False,post,post,full,none,live,,
1,0,communication,0.20772583447140816,0.3841219565043058,0.1159796575467765,0.6236980852963162,25,0,0.0,25,0,0,0.0,0.0,0.0,False,0.6153590624904125,logistic,False,False,False,post,post,full,none,live,,
1,1,communication,1.1893957205515293,0.4464461673529494,0.12564200025393746,0.8065090349353723,25,0,0.0,25,0,0,0.0,0.0,0.0,False,0.004511997046174323,logistic,False,False,False,post,post,full,none,live,,
1,2,communication,-0.46248939570267217,0.49758704233580003,0.10923355043465038,0.9903945245543897,25,11,0.44,25,0,0,0.44,0.0,0.0,True,0.9992989207778948,logistic,False,False,False,post,post,full,none,live,,
1,3,communication,0.14010010183790336,0.3847185012735264,0.34428927680439003,0.6252723380596154,25,2,0.08,25,0,0,0.08,0.0,0.0,False,0.6992634399074084,logistic,False,False,False,post,post,full,none,live,,
1,4,communication,0.9842909186778704,0.4227887727441803,0.2245826436069069,0.7324680338499385,25,0,0.0,25,0,0,0.0,0.0,0.0,False,0.0193935692921345,logistic,False,False,False,post,post,full,none,live,,
1,5,communication,-1.0585863379346643,0.47807998557752585,0.10104515093173261,0.9160023995372947,25,24,0.96,25,0,0,0.96,0.0,0.0,True,0.9999997981959308,logistic,False,False,False,post,post,full,none,live,,
1,6,communication,-0.21571615909954486,0.3855238733363866,0.1748077487598658,0.6274025248623474,25,10,0.4,25,0,0,0.4,0.0,0.0,True,0.9566555738762543,logistic,False,False,False,post,post,full,none,live,,
1,7,communication,0.5085811437825548,0.39284452551419513,0.25155429424116715,0.6470245958778384,25,0,0.0,25,0,0,0.0,0.0,0.0,False,0.25536496280884563,logistic,False,False,False,post,post,full,none,live,,
1,8,communication,0.01995666861015602,0.43477886037197433,0.18609662298996965,0.7692190363900827,25,8,0.32,25,0,0,0.32,0.0,0.0,True,0.8884868497290916,logistic,False,False,False,post,post,full,none,live,,
1,9,communication,0.12067800982406283,0.4005853036561405,0.13537231997474788,0.6682940977248599,25,4,0.16,25,0,0,0.16,0.0,0.0,True,0.7521249655268563,logistic,False,False,False,post,post,full,none,live,,
2,0,communication,0.006652245472151874,0.16534518000507728,0.10632108456960332,0.19810007208259228,25,1,0.04,25,0,0,0.04,0.0,0.0,True,0.328612458666826,logistic,False,False,False,post,post,full,none,live,,
2,1,communication,1.299172834049591,0.15768912271963784,0.10676833973769329,0.18721012273850904,25,0,0.0,25,0,0,0.0,0.0,0.0,False,7.586391398722698e-07,logistic,False,False,False,post,post,full,none,live,,
2,2,communication,-1.8618568016923709,0.35198203054267424,0.05171615606649586,0.5431670835261513,25,23,0.92,25,0,0,0.92,0.0,0.0,True,0.9999999999987155,logistic,False,False,False,post,post,full,none,live,,
2,3,communication,0.5619005537245034,0.06951236596243603,0.10248052280250564,0.07470530872163078,25,0,0.0,25,0,0,0.0,0.0,0.0,False,0.0009020273168242436,logistic,False,False,False,post,post,full,none,live,,
2,4,communication,1.134618215576771,0.06239785519905333,0.13104052922838033,0.06655046124313252,25,0,0.0,25,0,0,0.0,0.0,0.0,False,1.6191747050382877e-07,logistic,False,False,False,post,post,full,none,live,,
2,5,communication,0.3728301854353141,0.2202755487697622,0.055836039433286994,0.2825043493534346,25,0,0.0,25,0,0,0.0,0.0,0.0,False,0.10031154302364326,logistic,False,False,False,post,post,full,none,live,,
2,6,communication,0.2679941558354373,0.16580906718210264,0.08312382504122517,0.198766326339702,25,0,0.0,25,0,0,0.0,0.0,0.0,False,0.09484838180332739,logistic,False,False,False,post,post,full,none,live,,
2,7,communication,0.13926155299178936,0.32009159839175516,0.13633156742085395,0.4707863553893663,25,3,0.12,25,0,0,0.12,0.0,0.0,False,0.5538222014831089,logistic,False,False,False,post,post,full,none,live,,
2,8,communication,-0.23426363636758482,1.0,0.14148322644682407,-0.15829864936234783,25,8,0.32,25,0,0,0.32,0.0,0.0,True,0.0,logistic,False,False,False,post,post,full,none,live,,
2,9,communication,-0.44562488826287483,0.19736968224204507,0.11692539657422717,0.24590359705495804,25,20,0.8,25,0,0,0.8,0.0,0.0,True,0.9018666565590807,logistic,False,False,False,post,post,full,none,live,,
3,0,communication,-0.29107213604267174,1.0,-0.33657188647451175,-0.359520436075857,25,0,0.0,25,0,0,0.0,0.0,0.0,True,0.0,logistic,False,False,False,post,post,full,none,live,,
3,1,communication,-1.5349213916626867,1.0,-0.3204796014715397,-0.42901338872247674,25,24,0.96,25,0,0,0.96,0.0,0.0,True,0.0,logistic,False,False,False,post,post,full,none,live,,
3,2,communication,0.15046525729715382,1.0,-0.45020269728727397,-0.4879691600401973,25,0,0.0,25,0,0,0.0,0.0,0.0,False,0.0,logistic,False,False,False,post,post,full,none,live,,
3,3,communication,1.8512062080320457,1.0,-0.33365589625424136,-0.3474228329877943,25,0,0.0,25,0,0,0.0,0.0,0.0,False,0.0,logistic,False,False,False,post,post,full,none,live,,
3,4,communication,-0.1437830806026511,1.0,-0.34873575977287385,-0.49937601874723686,25,0,0.0,25,0,0,0.0,0.0,0.0,True,0.0,logistic,False,False,False,post,post,full,none,live,,
3,5,communication,-0.3326955387859224,1.0,-0.38753782454772046,-0.24641417471496077,25,2,0.08,25,0,0,0.08,0.0,0.0,True,0.0,logistic,False,False,False,post,post,full,none,live,,
3,6,communication,0.5213079014354364,1.0,-0.2905438213763508,-0.5413438656936818,25,0,0.0,25,0,0,0.0,0.0,0.0,False,0.0,logistic,False,False,False,post,post,full,none,live,,
3,7,communication,1.2274860983013685,1.0,-0.3642876416301282,-0.43407708415807006,25,0,0.0,25,0,0,0.0,0.0,0.0,False,0.0,logistic,False,False,False,post,post,full,none,live,,
3,8,communication,0.022418809138022966,1.0,-0.33580556825064684,-0.32986175888886327,25,0,0.0,25,0,0,0.0,0.0,0.0,False,0.0,logistic,False,False,False,post,post,full,none,live,,
