analyst_model,corpus,arm,country,period,theta,theta_star,coup_success,n_senders_shown,jf_true_shown,n_join_true_shown,fall_est,join_pct_est,n_sender_parsed,n_sender_imputed_p,sender_accuracy,n_top5_join_true,parse_ok_fall,parse_ok_join_pct,api_error
meta-llama/llama-4-maverick-17b-128e-instruct,clean_qwen30,baseline,0,0,2.2084435727029392,,,10,0.0,0,5.0,0.0,10,0,1.0,0,True,True,False
meta-llama/llama-4-maverick-17b-128e-instruct,clean_qwen30,baseline,0,1,-0.0840272131538356,,,10,1.0,10,70.0,50.0,10,0,0.6,5,True,True,False
meta-llama/llama-4-maverick-17b-128e-instruct,clean_qwen30,baseline,0,2,-1.342985845988638,,,10,1.0,10,85.0,80.0,10,0,0.8,5,True,True,False
meta-llama/llama-4-maverick-17b-128e-instruct,clean_qwen30,baseline,0,3,-0.7357762720014793,,,10,1.0,10,85.0,80.0,10,0,0.7,5,True,True,False
meta-llama/llama-4-maverick-17b-128e-instruct,clean_qwen30,baseline,0,4,1.7405863051563712,,,10,0.0,0,5.0,0.0,10,0,1.0,0,True,True,False
meta-llama/llama-4-maverick-17b-128e-instruct,clean_qwen30,baseline,0,5,0.09253504398813692,,,10,1.0,10,80.0,60.0,10,0,0.6,5,True,True,False
meta-llama/llama-4-maverick-17b-128e-instruct,clean_qwen30,baseline,0,6,-0.40540160078521015,,,10,1.0,10,85.0,80.0,10,0,0.9,5,True,True,False
meta-llama/llama-4-maverick-17b-128e-instruct,clean_qwen30,baseline,0,7,0.9026031956943686,,,10,0.2,2,20.0,10.0,10,0,1.0,2,True,True,False
meta-llama/llama-4-maverick-17b-128e-instruct,clean_qwen30,baseline,0,8,-0.21193827712562924,,,10,1.0,10,80.0,70.0,10,0,0.7,5,True,True,False
meta-llama/llama-4-maverick-17b-128e-instruct,clean_qwen30,baseline,0,9,-0.7926112780551091,,,10,1.0,10,85.0,80.0,10,0,0.9,5,True,True,False
meta-llama/llama-4-maverick-17b-128e-instruct,clean_qwen30,baseline,0,10,0.8709729588444134,,,10,0.0,0,20.0,30.0,10,0,0.7,0,True,True,False
meta-llama/llama-4-maverick-17b-128e-instruct,clean_qwen30,baseline,0,11,-0.5889618897082081,,,10,1.0,10,85.0,80.0,10,0,0.9,5,True,True,False
meta-llama/llama-4-maverick-17b-128e-instruct,clean_qwen30,baseline,0,12,-0.48798342459139393,,,10,1.0,10,85.0,80.0,10,0,0.9,5,True,True,False
meta-llama/llama-4-maverick-17b-128e-instruct,clean_qwen30,baseline,0,13,-0.4093381533858193,,,10,1.0,10,80.0,70.0,10,0,0.8,5,True,True,False
meta-llama/llama-4-maverick-17b-128e-instruct,clean_qwen30,baseline,0,14,-0.9681689072365186,,,10,1.0,10,85.0,80.0,10,0,0.8,5,True,True,False
meta-llama/llama-4-maverick-17b-128e-instruct,clean_qwen30,baseline,0,15,-0.3278435965009775,,,10,1.0,10,85.0,80.0,10,0,0.8,5,True,True,False
meta-llama/llama-4-maverick-17b-128e-instruct,clean_qwen30,baseline,0,16,-1.3202871746110207,,,10,1.0,10,85.0,80.0,10,0,0.9,5,True,True,False
meta-llama/llama-4-maverick-17b-128e-instruct,clean_qwen30,baseline,0,17,-0.45116800936150714,,,10,1.0,10,85.0,60.0,10,0,0.8,5,True,True,False
