model_label,arm_label,run_id,arm_id,model,country,period,seed,theta,z_public,sigma,benefit,cost,theta_star,n_agents,n_valid,n_join,join_fraction_valid,coup_success,theoretical_attack,message_stage_context,decision_context,decision_task,message_source_arm,message_transform,belief_timing,belief_information,api_error_rate,unparseable_rate
Qwen3-30B-A3B,pure,large_random_pure_qwen30-20260508T010216Z,large_random_pure_qwen30,qwen/qwen3-30b-a3b-instruct-2507,0,0,6160,2.2084435727029392,0.34688961589454764,0.3,1.0,1.0,0.5,10,10,1,0.1,False,6.175400126633436e-09,none,none,coordination,none,none,none,none,0.0,0.0
Qwen3-30B-A3B,pure,large_random_pure_qwen30-20260508T010216Z,large_random_pure_qwen30,qwen/qwen3-30b-a3b-instruct-2507,0,1,6160,-0.0840272131538356,0.2794351282705289,0.3,1.0,1.0,0.5,10,10,9,0.9,True,0.974218085425701,none,none,coordination,none,none,none,none,0.0,0.0
Qwen3-30B-A3B,pure,large_random_pure_qwen30-20260508T010216Z,large_random_pure_qwen30,qwen/qwen3-30b-a3b-instruct-2507,0,2,6160,-1.342985845988638,0.2888868511013317,0.3,1.0,1.0,0.5,10,10,10,1.0,True,0.9999999995958426,none,none,coordination,none,none,none,none,0.0,0.0
Qwen3-30B-A3B,pure,large_random_pure_qwen30-20260508T010216Z,large_random_pure_qwen30,qwen/qwen3-30b-a3b-instruct-2507,0,3,6160,-0.7357762720014793,0.17829596720540514,0.3,1.0,1.0,0.5,10,10,9,0.9,True,0.9999809949710043,none,none,coordination,none,none,none,none,0.0,0.0
Qwen3-30B-A3B,pure,large_random_pure_qwen30-20260508T010216Z,large_random_pure_qwen30,qwen/qwen3-30b-a3b-instruct-2507,0,4,6160,1.7405863051563712,0.2950849165449744,0.3,1.0,1.0,0.5,10,10,0,0.0,False,1.7725512240833284e-05,none,none,coordination,none,none,none,none,0.0,0.0
Qwen3-30B-A3B,pure,large_random_pure_qwen30-20260508T010216Z,large_random_pure_qwen30,qwen/qwen3-30b-a3b-instruct-2507,0,5,6160,0.09253504398813692,0.24637080153463678,0.3,1.0,1.0,0.5,10,10,8,0.8,True,0.9128025049516035,none,none,coordination,none,none,none,none,0.0,0.0
Qwen3-30B-A3B,pure,large_random_pure_qwen30-20260508T010216Z,large_random_pure_qwen30,qwen/qwen3-30b-a3b-instruct-2507,0,6,6160,-0.40540160078521015,0.2914049110621376,0.3,1.0,1.0,0.5,10,10,10,1.0,True,0.9987277778778542,none,none,coordination,none,none,none,none,0.0,0.0
Qwen3-30B-A3B,pure,large_random_pure_qwen30-20260508T010216Z,large_random_pure_qwen30,qwen/qwen3-30b-a3b-instruct-2507,0,7,6160,0.9026031956943686,0.2553613708424929,0.3,1.0,1.0,0.5,10,10,3,0.3,False,0.08979627089159375,none,none,coordination,none,none,none,none,0.0,0.0
Qwen3-30B-A3B,pure,large_random_pure_qwen30-20260508T010216Z,large_random_pure_qwen30,qwen/qwen3-30b-a3b-instruct-2507,0,8,6160,-0.21193827712562924,0.26601572489516573,0.3,1.0,1.0,0.5,10,10,10,1.0,True,0.9911809150795988,none,none,coordination,none,none,none,none,0.0,0.0
Qwen3-30B-A3B,pure,large_random_pure_qwen30-20260508T010216Z,large_random_pure_qwen30,qwen/qwen3-30b-a3b-instruct-2507,0,9,6160,-0.7926112780551091,0.23556142669272706,0.3,1.0,1.0,0.5,10,10,10,1.0,True,0.9999917893112655,none,none,coordination,none,none,none,none,0.0,0.0
Qwen3-30B-A3B,pure,large_random_pure_qwen30-20260508T010216Z,large_random_pure_qwen30,qwen/qwen3-30b-a3b-instruct-2507,0,10,6160,0.8709729588444134,0.31793864080278045,0.3,1.0,1.0,0.5,10,10,3,0.3,False,0.10812216891220233,none,none,coordination,none,none,none,none,0.0,0.0
Qwen3-30B-A3B,pure,large_random_pure_qwen30-20260508T010216Z,large_random_pure_qwen30,qwen/qwen3-30b-a3b-instruct-2507,0,11,6160,-0.5889618897082081,0.3077172656347933,0.3,1.0,1.0,0.5,10,10,10,1.0,True,0.9998582196305627,none,none,coordination,none,none,none,none,0.0,0.0
Qwen3-30B-A3B,pure,large_random_pure_qwen30-20260508T010216Z,large_random_pure_qwen30,qwen/qwen3-30b-a3b-instruct-2507,0,12,6160,-0.48798342459139393,0.24274994901062003,0.3,1.0,1.0,0.5,10,10,10,1.0,True,0.9995048675999646,none,none,coordination,none,none,none,none,0.0,0.0
Qwen3-30B-A3B,pure,large_random_pure_qwen30-20260508T010216Z,large_random_pure_qwen30,qwen/qwen3-30b-a3b-instruct-2507,0,13,6160,-0.4093381533858193,0.24150900780794232,0.3,1.0,1.0,0.5,10,10,10,1.0,True,0.9987817869939777,none,none,coordination,none,none,none,none,0.0,0.0
Qwen3-30B-A3B,pure,large_random_pure_qwen30-20260508T010216Z,large_random_pure_qwen30,qwen/qwen3-30b-a3b-instruct-2507,0,14,6160,-0.9681689072365186,0.2350611473516816,0.3,1.0,1.0,0.5,10,10,10,1.0,True,0.9999995057054252,none,none,coordination,none,none,none,none,0.0,0.0
Qwen3-30B-A3B,pure,large_random_pure_qwen30-20260508T010216Z,large_random_pure_qwen30,qwen/qwen3-30b-a3b-instruct-2507,0,15,6160,-0.3278435965009775,0.2964037265779711,0.3,1.0,1.0,0.5,10,10,9,0.9,True,0.9971053165494806,none,none,coordination,none,none,none,none,0.0,0.0
Qwen3-30B-A3B,pure,large_random_pure_qwen30-20260508T010216Z,large_random_pure_qwen30,qwen/qwen3-30b-a3b-instruct-2507,0,16,6160,-1.3202871746110207,0.21547318038960978,0.3,1.0,1.0,0.5,10,10,10,1.0,True,0.9999999993509178,none,none,coordination,none,none,none,none,0.0,0.0
Qwen3-30B-A3B,pure,large_random_pure_qwen30-20260508T010216Z,large_random_pure_qwen30,qwen/qwen3-30b-a3b-instruct-2507,0,17,6160,-0.45116800936150714,0.24831560011729004,0.3,1.0,1.0,0.5,10,10,10,1.0,True,0.9992392730410702,none,none,coordination,none,none,none,none,0.0,0.0
Qwen3-30B-A3B,pure,large_random_pure_qwen30-20260508T010216Z,large_random_pure_qwen30,qwen/qwen3-30b-a3b-instruct-2507,0,18,6160,-0.6303725204183697,0.20053201022065564,0.3,1.0,1.0,0.5,10,10,10,1.0,True,0.9999176894592108,none,none,coordination,none,none,none,none,0.0,0.0
Qwen3-30B-A3B,pure,large_random_pure_qwen30-20260508T010216Z,large_random_pure_qwen30,qwen/qwen3-30b-a3b-instruct-2507,0,19,6160,0.05544048503644988,0.27801474182862507,0.3,1.0,1.0,0.5,10,10,10,1.0,True,0.9308118968702168,none,none,coordination,none,none,none,none,0.0,0.0
Qwen3-30B-A3B,pure,large_random_pure_qwen30-20260508T010216Z,large_random_pure_qwen30,qwen/qwen3-30b-a3b-instruct-2507,0,20,6160,-1.1864534004244258,0.3371293575471744,0.3,1.0,1.0,0.5,10,10,10,1.0,True,0.9999999905352962,none,none,coordination,none,none,none,none,0.0,0.0
Qwen3-30B-A3B,pure,large_random_pure_qwen30-20260508T010216Z,large_random_pure_qwen30,qwen/qwen3-30b-a3b-instruct-2507,0,21,6160,0.7665489665938894,0.2691891094442471,0.3,1.0,1.0,0.5,10,10,4,0.4,False,0.18713685397781915,none,none,coordination,none,none,none,none,0.0,0.0
Qwen3-30B-A3B,pure,large_random_pure_qwen30-20260508T010216Z,large_random_pure_qwen30,qwen/qwen3-30b-a3b-instruct-2507,0,22,6160,-0.7329141684791195,0.23614409921623525,0.3,1.0,1.0,0.5,10,10,10,1.0,True,0.9999801925186205,none,none,coordination,none,none,none,none,0.0,0.0
