country,period,treatment,theta,theta_star,z,benefit,n_agents,n_join,join_fraction,n_valid,n_api_error,n_unparseable,join_fraction_valid,api_error_rate,unparseable_rate,coup_success,theoretical_attack,direction_transform,degrade_messages,no_peer_messages,beliefs_include_messages,belief_order,second_order_order,message_stage_context,decision_context,message_bundle_mode,message_source_country,message_source_period
0,0,communication,-0.5904019199697088,0.3038859343875068,0.19370567027084246,0.4365461774143656,25,19,0.76,25,0,0,0.76,0.0,0.0,True,0.9932008445513634,logistic,False,False,False,post,post,none,none,exact,0,0
0,1,communication,0.94220149078861,0.3867087906489276,0.27252903114699095,0.63054676922258,25,0,0.0,25,0,0,0.0,0.0,0.0,False,0.016195584131029464,logistic,False,False,False,post,post,none,none,exact,0,1
0,2,communication,0.04847637980650099,0.4369521547750533,0.1747234738671704,0.7760480010370766,25,6,0.24,25,0,0,0.24,0.0,0.0,True,0.8720673453937385,logistic,False,False,False,post,post,none,none,exact,0,2
0,3,communication,0.4653995115967724,0.30146921057326526,0.25471005402171887,0.4315761239682403,25,2,0.08,25,0,0,0.08,0.0,0.0,False,0.14307310832603332,logistic,False,False,False,post,post,none,none,exact,0,3
0,4,communication,0.6122347388809223,0.4471211833670915,0.08638860769351506,0.8087146222930146,25,0,0.0,25,0,0,0.0,0.0,0.0,False,0.24720341041281518,logistic,False,False,False,post,post,none,none,exact,0,4
0,5,communication,-1.0810888916640875,0.3652475905300537,0.213030408049045,0.5754174148548027,25,25,1.0,25,0,0,1.0,0.0,0.0,True,0.9999962089134272,logistic,False,False,False,post,post,none,none,exact,0,5
0,6,communication,0.19441398855437625,0.38689868738410604,0.22098832923089795,0.6310518007755381,25,2,0.08,25,0,0,0.08,0.0,0.0,False,0.6384071156810699,logistic,False,False,False,post,post,none,none,exact,0,6
0,7,communication,0.6829009735655489,0.2808233899023911,0.1402632241149661,0.39047903666427203,25,0,0.0,25,0,0,0.0,0.0,0.0,False,0.02738755570223564,logistic,False,False,False,post,post,none,none,exact,0,7
0,8,communication,0.9529713676894882,0.24095840888517275,0.1466592237782048,0.3174508639655304,25,0,0.0,25,0,0,0.0,0.0,0.0,False,0.0010468821173364225,logistic,False,False,False,post,post,none,none,exact,0,8
0,9,communication,-1.2409966046540475,0.09592311259289209,0.21582943882289807,0.10610061370775614,25,24,0.96,25,0,0,0.96,0.0,0.0,True,0.9991871673919488,logistic,False,False,False,post,post,none,none,exact,0,9
