country,period,treatment,theta,theta_star,z,benefit,n_agents,n_join,join_fraction,n_valid,n_api_error,n_unparseable,join_fraction_valid,api_error_rate,unparseable_rate,coup_success,theoretical_attack,direction_transform,degrade_messages,no_peer_messages,beliefs_include_messages,belief_order,second_order_order,message_stage_context,decision_context,message_bundle_mode,message_source_country,message_source_period
0,0,communication,-1.5690379156212926,0.5430661838642469,0.02481260212133443,1.1885007515024986,25,22,0.88,25,0,0,0.88,0.0,0.0,True,0.9999999999995614,logistic,False,False,False,post,post,full,none,live,,
0,1,communication,0.27413995296177207,0.5052839828099566,-0.04417378248669119,1.0213616807475503,25,0,0.0,25,0,0,0.0,0.0,0.0,False,0.7833993922170609,logistic,False,False,False,post,post,full,none,live,,
0,2,communication,-0.6921698666414775,0.4802610662052737,-0.14928959424293253,0.9240428895691607,25,20,0.8,25,0,0,0.8,0.0,0.0,True,0.9999429819015426,logistic,False,False,False,post,post,full,none,live,,
0,3,communication,-0.05931788553484087,0.5274901519415617,-0.12699129873537982,1.116358006312545,25,3,0.12,25,0,0,0.12,0.0,0.0,True,0.978565753446258,logistic,False,False,False,post,post,full,none,live,,
0,4,communication,0.7879336174018815,0.5189048065643461,-0.0672271240003965,1.078590710621492,25,0,0.0,25,0,0,0.0,0.0,0.0,False,0.19784116073966723,logistic,False,False,False,post,post,full,none,live,,
0,5,communication,1.690847318114246,0.518472663039974,-0.16111230334916,1.0767252931332845,25,0,0.0,25,0,0,0.0,0.0,0.0,False,5.63246293204109e-05,logistic,False,False,False,post,post,full,none,live,,
0,6,communication,-1.0228733453805763,0.4717785779603876,-0.020547806503192878,0.8931454845937846,25,19,0.76,25,0,0,0.76,0.0,0.0,True,0.999999547796543,logistic,False,False,False,post,post,full,none,live,,
0,7,communication,0.26474965699684816,0.532296304090835,-0.06594115645229179,1.1381058322750879,25,2,0.08,25,0,0,0.08,0.0,0.0,False,0.8346899517273453,logistic,False,False,False,post,post,full,none,live,,
0,8,communication,1.4514390127670076,0.5694789192634964,-0.1431316388582483,1.3227666303570405,25,0,0.0,25,0,0,0.0,0.0,0.0,False,0.002847716904980911,logistic,False,False,False,post,post,full,none,live,,
0,9,communication,-0.15891057641466977,0.5351152497134072,-0.09646564183913495,1.151070774817885,25,5,0.2,25,0,0,0.2,0.0,0.0,True,0.991837206302061,logistic,False,False,False,post,post,full,none,live,,
0,10,communication,-2.8514440492388764,0.5461253164100672,-0.18349821835810923,1.203251329398846,25,25,1.0,25,0,0,1.0,0.0,0.0,True,1.0,logistic,False,False,False,post,post,full,none,live,,
0,11,communication,-0.17761207514838723,0.49114571070606267,-0.04347621746506677,0.9651991169958568,25,5,0.2,25,0,0,0.2,0.0,0.0,True,0.9863428440566435,logistic,False,False,False,post,post,full,none,live,,
0,12,communication,0.39635098434182814,0.5292350391399975,-0.11735896535841528,1.124202273196333,25,0,0.0,25,0,0,0.0,0.0,0.0,False,0.6971754350520499,logistic,False,False,False,post,post,full,none,live,,
0,13,communication,-0.8930585297314593,0.5115649787618756,-0.19683508751962092,1.0473552397310075,25,20,0.8,25,0,0,0.8,0.0,0.0,True,0.9999987679113704,logistic,False,False,False,post,post,full,none,live,,
0,14,communication,2.0074252072990673,0.4426170884124928,-0.060059376492507914,0.7940987770002768,25,0,0.0,25,0,0,0.0,0.0,0.0,False,4.152714786786798e-08,logistic,False,False,False,post,post,full,none,live,,
0,15,communication,-0.3746785692418634,0.5139703108388153,-0.08171517401354812,1.0574874792645939,25,12,0.48,25,0,0,0.48,0.0,0.0,True,0.9986375890130773,logistic,False,False,False,post,post,full,none,live,,
0,16,communication,0.2964098962195181,0.5576468667945231,-0.11597662513704396,1.260637316511312,25,0,0.0,25,0,0,0.0,0.0,0.0,False,0.8451366662568922,logistic,False,False,False,post,post,full,none,live,,
0,17,communication,-0.2527282626446281,0.5189441927237252,-0.02169877844535706,1.0787608940051538,25,12,0.48,25,0,0,0.48,0.0,0.0,True,0.9956002285745799,logistic,False,False,False,post,post,full,none,live,,
0,18,communication,1.7694653864749827,0.4440501446076638,-0.08136125277276256,0.7987233746005666,25,0,0.0,25,0,0,0.0,0.0,0.0,False,2.572836081841882e-06,logistic,False,False,False,post,post,full,none,live,,
0,19,communication,-1.4277805074623344,0.5118559781768987,-0.11490104391911787,1.0485757384987295,25,22,0.88,25,0,0,0.88,0.0,0.0,True,0.9999999999585323,logistic,False,False,False,post,post,full,none,live,,
0,20,communication,-0.7665054199611054,0.5789683454906761,-0.09332460794131554,1.375118329678594,25,17,0.68,25,0,0,0.68,0.0,0.0,True,0.9999985944997242,logistic,False,False,False,post,post,full,none,live,,
0,21,communication,-0.9857283322434358,0.5165874293181414,-0.08954854235240813,1.06862638799295,25,20,0.8,25,0,0,0.8,0.0,0.0,True,0.9999997782953173,logistic,False,False,False,post,post,full,none,live,,
0,22,communication,0.461174717853195,0.45630028792293775,-0.14696433268499504,0.8392505601663133,25,0,0.0,25,0,0,0.0,0.0,0.0,False,0.44986318625262767,logistic,False,False,False,post,post,full,none,live,,
0,23,communication,0.3403385328121334,0.5141649512433335,-0.06619657077559972,1.0583117717817352,25,1,0.04,25,0,0,0.04,0.0,0.0,False,0.7307012177728325,logistic,False,False,False,post,post,full,none,live,,
0,24,communication,-0.9763610863043007,0.49208884114441825,-0.13955115624859202,0.9688482573471824,25,21,0.84,25,0,0,0.84,0.0,0.0,True,0.9999994559617402,logistic,False,False,False,post,post,full,none,live,,
0,25,communication,2.92538629606796,0.5385567054283229,-0.04436878533580724,1.1671135148430845,25,0,0.0,25,0,0,0.0,0.0,0.0,False,1.9314248424976445e-15,logistic,False,False,False,post,post,full,none,live,,
0,26,communication,-1.381275231058007,0.5322236860543377,-0.0920550203744214,1.1377739107075904,25,19,0.76,25,0,0,0.76,0.0,0.0,True,0.9999999999473678,logistic,False,False,False,post,post,full,none,live,,
0,27,communication,0.09467516706652017,0.463558247243063,0.009505501286772383,0.8641352856310988,25,3,0.12,25,0,0,0.12,0.0,0.0,True,0.8724683461081897,logistic,False,False,False,post,post,full,none,live,,
0,28,communication,-1.5072403235405762,0.501173087275043,-0.012211946440275664,1.0047033840601534,25,22,0.88,25,0,0,0.88,0.0,0.0,True,0.9999999999894102,logistic,False,False,False,post,post,full,none,live,,
0,29,communication,0.3689343178407862,0.5552519798229519,0.01727598707103932,1.24846419687695,25,0,0.0,25,0,0,0.0,0.0,0.0,False,0.776372946348687,logistic,False,False,False,post,post,full,none,live,,
0,30,communication,0.14927110332851345,0.5135425857506044,-0.041741500894164396,1.0556784020714356,25,1,0.04,25,0,0,0.04,0.0,0.0,False,0.8940194451068043,logistic,False,False,False,post,post,full,none,live,,
0,31,communication,0.32117046802430793,0.5423385468559278,-0.09042165459624404,1.1850212490698864,25,2,0.08,25,0,0,0.08,0.0,0.0,False,0.8005406424337433,logistic,False,False,False,post,post,full,none,live,,
0,32,communication,-0.5250476615988334,0.560909362897636,-0.0230796623133388,1.2774341229391162,25,15,0.6,25,0,0,0.6,0.0,0.0,True,0.9999193945069742,logistic,False,False,False,post,post,full,none,live,,
0,33,communication,-0.8283027469335477,0.4886787168910672,-0.04749779706240071,0.9557175361835236,25,15,0.6,25,0,0,0.6,0.0,0.0,True,0.9999935429679259,logistic,False,False,False,post,post,full,none,live,,
0,34,communication,-0.19641443478209278,0.5271378893446645,-0.08064430119964554,1.1147814076583742,25,7,0.28,25,0,0,0.28,0.0,0.0,True,0.9934293742105894,logistic,False,False,False,post,post,full,none,live,,
0,35,communication,1.5852483184685613,0.47000682106353686,-0.04882525292838078,0.8868167360317716,25,0,0.0,25,0,0,0.0,0.0,0.0,False,7.450175684538592e-05,logistic,False,False,False,post,post,full,none,live,,
0,36,communication,0.23853137419688883,0.5036879736270252,-0.14184669013220044,1.0148615122384872,25,0,0.0,25,0,0,0.0,0.0,0.0,False,0.8140981462210561,logistic,False,False,False,post,post,full,none,live,,
0,37,communication,-0.010820192566592751,0.5459475774263025,-0.13970479657970167,1.20238886587526,25,7,0.28,25,0,0,0.28,0.0,0.0,True,0.9756564649157407,logistic,False,False,False,post,post,full,none,live,,
0,38,communication,-0.42307615377282126,0.5569060544137437,-0.1781442701114454,1.2568577385477544,25,7,0.28,25,0,0,0.28,0.0,0.0,True,0.9996748720953965,logistic,False,False,False,post,post,full,none,live,,
