country	period	treatment	theta	theta_star	z	benefit	n_agents	n_join	join_fraction	n_valid	n_api_error	n_unparseable	join_fraction_valid	api_error_rate	unparseable_rate	coup_success	theoretical_attack	direction_transform	degrade_messages	no_peer_messages	beliefs_include_messages	belief_order	second_order_order	message_stage_context	decision_context	message_bundle_mode	message_source_country	message_source_period
0	0	communication	-0.44222190755802915	0.5833199473534748	0.10481138674175519	1.3999228992329815	25	20	0.8	25	0	0	0.8	0.0	0.0	True	0.9998576660441925	logistic	False	False	False	post	post	anonymous	none	live		
0	1	communication	0.2802954918979617	0.552302510240506	0.117853003127394	1.2336511212899732	25	3	0.12	25	0	0	0.12	0.0	0.0	False	0.8504047404281012	logistic	False	False	False	post	post	anonymous	none	live		
0	2	communication	1.6158023599215996	0.5166301543696104	0.09993175478956492	1.0688092338400714	25	0	0.0	25	0	0	0.0	0.0	0.0	False	0.00014604861372686305	logistic	False	False	False	post	post	anonymous	none	live		
0	3	communication	0.23569680025993786	0.5312087849523037	0.1731047843030027	1.1331457755629166	25	2	0.08	25	0	0	0.08	0.0	0.0	False	0.8561880836827034	logistic	False	False	False	post	post	anonymous	none	live		
0	4	communication	-0.714891269880322	0.5670693258163529	0.2166236961824763	1.3098386407607718	25	24	0.96	25	0	0	0.96	0.0	0.0	True	0.999995546151445	logistic	False	False	False	post	post	anonymous	none	live		
0	5	communication	-0.3853699283992994	0.5807180105384628	0.1431385931313025	1.3850297058651382	25	24	0.96	25	0	0	0.96	0.0	0.0	True	0.9996914939072045	logistic	False	False	False	post	post	anonymous	none	live		
0	6	communication	-0.7689981918433701	0.5581046610798066	0.17500948342630634	1.2629792892669562	25	24	0.96	25	0	0	0.96	0.0	0.0	True	0.99999755953689	logistic	False	False	False	post	post	anonymous	none	live		
0	7	communication	0.9722445092617593	0.5234361188194558	0.17519781408472468	1.0983545742551863	25	0	0.0	25	0	0	0.0	0.0	0.0	False	0.0753236982220932	logistic	False	False	False	post	post	anonymous	none	live		
0	8	communication	0.00513277626675121	0.5097512197738946	0.16796325820412222	1.0397806997883698	25	13	0.52	25	0	0	0.52	0.0	0.0	True	0.9560431003510389	logistic	False	False	False	post	post	anonymous	none	live		
0	9	communication	-0.1655041435963895	0.5180518129194935	0.08936750254237472	1.0749118407472216	25	9	0.36	25	0	0	0.36	0.0	0.0	True	0.989931476341119	logistic	False	False	False	post	post	anonymous	none	live		
1	0	communication	-0.4853941839002192	0.48425725426280514	0.3553629543558429	0.9389511694839551	25	24	0.96	25	0	0	0.96	0.0	0.0	True	0.9992952535112638	logistic	False	False	False	post	post	anonymous	none	live		
1	1	communication	-0.533071641142524	0.44380364759200364	0.3419925292846277	0.7979262101784743	25	22	0.88	25	0	0	0.88	0.0	0.0	True	0.9990800212568395	logistic	False	False	False	post	post	anonymous	none	live		
1	2	communication	-0.2283401577308209	0.5448326534309362	0.4153942280014901	1.196994155089874	25	25	1.0	25	0	0	1.0	0.0	0.0	True	0.9964258902400521	logistic	False	False	False	post	post	anonymous	none	live		
1	3	communication	1.6449346946151349	0.5596171376976015	0.4179530820336708	1.270751397481331	25	0	0.0	25	0	0	0.0	0.0	0.0	False	0.0002624405058764165	logistic	False	False	False	post	post	anonymous	none	live		
1	4	communication	-0.4068331478824194	0.48194982008836806	0.39074185544031714	0.9303149362298805	25	24	0.96	25	0	0	0.96	0.0	0.0	True	0.9982348993466006	logistic	False	False	False	post	post	anonymous	none	live		
1	5	communication	-0.7824285411275458	0.5267796708419824	0.36789284382928894	1.1131805596333124	25	25	1.0	25	0	0	1.0	0.0	0.0	True	0.9999953145927232	logistic	False	False	False	post	post	anonymous	none	live		
1	6	communication	1.1803020267720663	0.535303265481354	0.2662960109616335	1.1519410955961322	25	0	0.0	25	0	0	0.0	0.0	0.0	False	0.019633024390293782	logistic	False	False	False	post	post	anonymous	none	live		
1	7	communication	0.48069341715961167	0.3804778602843866	0.29956006973001736	0.6141473175745453	25	2	0.08	25	0	0	0.08	0.0	0.0	False	0.2616464131163392	logistic	False	False	False	post	post	anonymous	none	live		
1	8	communication	1.3929823120845675	0.4344652285759079	0.23985320999059118	0.7682378706473989	25	0	0.0	25	0	0	0.0	0.0	0.0	False	0.00038960781001425433	logistic	False	False	False	post	post	anonymous	none	live		
1	9	communication	1.0797505135798584	0.42672295765064466	0.33793143529047015	0.7443573109118148	25	0	0.0	25	0	0	0.0	0.0	0.0	False	0.009101027349961354	logistic	False	False	False	post	post	anonymous	none	live		
2	0	communication	-0.18295704420292458	1.0	-0.16056522564938014	-0.4397394319289073	25	4	0.16	25	0	0	0.16	0.0	0.0	True	0.0	logistic	False	False	False	post	post	anonymous	none	live		
2	1	communication	1.4332757692347753	1.0	-0.20968059436059588	-0.5731558508130253	25	0	0.0	25	0	0	0.0	0.0	0.0	False	0.0	logistic	False	False	False	post	post	anonymous	none	live		
2	2	communication	1.7526983553646391	1.0	-0.09561340199351855	-0.6814028851423957	25	0	0.0	25	0	0	0.0	0.0	0.0	False	0.0	logistic	False	False	False	post	post	anonymous	none	live		
2	3	communication	-1.2963892818077352	1.0	-0.19135935696664488	-0.6407757352133536	25	24	0.96	25	0	0	0.96	0.0	0.0	True	0.0	logistic	False	False	False	post	post	anonymous	none	live		
2	4	communication	-1.5692033984298237	1.0	-0.12945957041746936	-0.6303422180273187	25	25	1.0	25	0	0	1.0	0.0	0.0	True	0.0	logistic	False	False	False	post	post	anonymous	none	live		
2	5	communication	-0.20135749711466552	1.0	-0.14270031381296072	-0.5550344787698908	25	6	0.24	25	0	0	0.24	0.0	0.0	True	0.0	logistic	False	False	False	post	post	anonymous	none	live		
2	6	communication	1.0917550857026659	1.0	-0.2328853928584388	-0.2701813065916992	25	0	0.0	25	0	0	0.0	0.0	0.0	False	0.0	logistic	False	False	False	post	post	anonymous	none	live		
2	7	communication	1.836592854782505	1.0	-0.22965061233107173	-0.44990255102762255	25	0	0.0	25	0	0	0.0	0.0	0.0	False	0.0	logistic	False	False	False	post	post	anonymous	none	live		
2	8	communication	-0.9787766466768306	1.0	-0.19162897610299645	-0.7423132901663101	25	24	0.96	25	0	0	0.96	0.0	0.0	True	0.0	logistic	False	False	False	post	post	anonymous	none	live		
2	9	communication	-0.768267787485649	1.0	-0.2326517254860534	-0.5602191413585785	25	23	0.92	25	0	0	0.92	0.0	0.0	True	0.0	logistic	False	False	False	post	post	anonymous	none	live		
3	0	communication	-0.2955728129027339	1.0	0.10860960676605053	-0.3559083737464628	25	17	0.68	25	0	0	0.68	0.0	0.0	True	0.0	logistic	False	False	False	post	post	anonymous	none	live		
3	1	communication	-0.31988252195742967	1.0	0.20400234473264517	-0.3884668590315403	25	24	0.96	25	0	0	0.96	0.0	0.0	True	0.0	logistic	False	False	False	post	post	anonymous	none	live		
3	2	communication	-0.2013620404107907	0.11812615019047885	0.20124726094072032	0.13394903388505433	25	19	0.76	25	0	0	0.76	0.0	0.0	True	0.4524611753925407	logistic	False	False	False	post	post	anonymous	none	live		
3	3	communication	0.902641219803683	0.10262496046201251	0.14901593400610538	0.11436128256347408	25	0	0.0	25	0	0	0.0	0.0	0.0	False	4.186654165008916e-05	logistic	False	False	False	post	post	anonymous	none	live		
3	4	communication	0.8789923541758728	1.0	0.15796963095886235	-0.3168699431663409	25	0	0.0	25	0	0	0.0	0.0	0.0	False	0.0	logistic	False	False	False	post	post	anonymous	none	live		
3	5	communication	-1.2941118429416623	1.0	0.18037702494141986	-0.0007176279382769268	25	25	1.0	25	0	0	1.0	0.0	0.0	True	0.0	logistic	False	False	False	post	post	anonymous	none	live		
3	6	communication	1.2760443792306355	1.0	0.156268380133172	-0.25951876413084984	25	0	0.0	25	0	0	0.0	0.0	0.0	False	0.0	logistic	False	False	False	post	post	anonymous	none	live		
3	7	communication	0.9751067750735569	1.0	0.16114508232441976	-0.040987952433459374	25	0	0.0	25	0	0	0.0	0.0	0.0	False	0.0	logistic	False	False	False	post	post	anonymous	none	live		
3	8	communication	-0.7970377715381913	1.0	0.22302975362772323	-0.2668773118202926	25	25	1.0	25	0	0	1.0	0.0	0.0	True	0.0	logistic	False	False	False	post	post	anonymous	none	live		
3	9	communication	1.455896508025168	1.0	0.20766085215546876	-0.2178977669601468	25	0	0.0	25	0	0	0.0	0.0	0.0	False	0.0	logistic	False	False	False	post	post	anonymous	none	live		
4	0	communication	-0.2785881731610082	0.3803369167881673	0.12042657188958926	0.6137801768290085	25	10	0.4	25	0	0	0.4	0.0	0.0	True	0.9707425776909879	logistic	False	False	False	post	post	anonymous	none	live		
4	1	communication	1.5270823878344069	0.301691602087836	-0.008069976397474574	0.43203204055664807	25	0	0.0	25	0	0	0.0	0.0	0.0	False	2.0704966638382e-06	logistic	False	False	False	post	post	anonymous	none	live		
4	2	communication	-1.0381210775851157	0.24464031100198189	-0.010212664502253367	0.32387260607790225	25	25	1.0	25	0	0	1.0	0.0	0.0	True	0.9998310845582037	logistic	False	False	False	post	post	anonymous	none	live		
4	3	communication	0.3025593232596772	0.25358481986049536	0.03610386435198424	0.3397369541882849	25	2	0.08	25	0	0	0.08	0.0	0.0	False	0.2042603680397133	logistic	False	False	False	post	post	anonymous	none	live		
4	4	communication	-1.3569990758127897	0.4006666285536903	0.06762011640846702	0.6685204723154371	25	25	1.0	25	0	0	1.0	0.0	0.0	True	0.999999989722481	logistic	False	False	False	post	post	anonymous	none	live		
4	5	communication	1.5914006071434428	0.35455259261884553	-0.05792996528941911	0.5493129084791141	25	0	0.0	25	0	0	0.0	0.0	0.0	False	3.4640614166809038e-06	logistic	False	False	False	post	post	anonymous	none	live		
4	6	communication	-1.8066293202656776	0.3186669385082145	0.019905800137025993	0.46771095741411706	25	25	1.0	25	0	0	1.0	0.0	0.0	True	0.9999999999811557	logistic	False	False	False	post	post	anonymous	none	live		
4	7	communication	-0.5972214199447815	0.3606365550922165	0.0020991418577644173	0.5640556368439733	25	23	0.92	25	0	0	0.92	0.0	0.0	True	0.9977166077193307	logistic	False	False	False	post	post	anonymous	none	live		
4	8	communication	0.2689245159449983	0.2819562084018193	-0.07677313781272083	0.3926727195485631	25	2	0.08	25	0	0	0.08	0.0	0.0	False	0.29680879031708607	logistic	False	False	False	post	post	anonymous	none	live		
