paper_location	paper_claim_or_quote	citation_keys	source_support	bibliography_check	verdict
paper.tex:100	"canonical global game of regime change"	morris2003	Morris and Shin define global games as incomplete-information games with noisy signals and describe binary-action coordination games with a unique cutoff/switching strategy; see tmp/citation_audit_text/morris2003.txt:7-15,42-46,664-728.	Morris and Shin 2003 chapter fields match local source metadata and references.	Supported
paper.tex:100	"private signals alone resolve equilibrium multiplicity"	carlsson1993; frankel03	Carlsson and van Damme are the original global-games/equilibrium-selection article; Frankel-Morris-Pauzner state that slightly noisy payoff signals yield limit uniqueness and generalize Carlsson-van Damme; see tmp/citation_audit_text/frankel03.txt:16-31.	Carlsson 1993 Econometrica 61(5):989-1018 DOI matches local source; Frankel et al. 2003 JET 108(1):1-44 matches local source.	Supported
paper.tex:100	"bank runs" as coordination crises	diamond1983	Diamond-Dybvig abstract says demand deposit contracts have multiple equilibria, one of which is a bank run; see tmp/citation_audit_text/diamond1983.txt:4-12.	JPE 91(3):401-419, 1983 matches local source metadata.	Supported
paper.tex:100	"currency attacks" as coordination crises	obstfeld1996	ScienceDirect lists the title as "Models of currency crises with self-fulfilling features" and describes strategic incentives of speculators and multiple currency-market equilibria.	European Economic Review 40(3-5):1037-1047, 1996 and DOI 10.1016/0014-2921(95)00111-5 match publisher metadata.	Supported
paper.tex:100	"political upheaval" as regime-change/global-game application	angeletos2007a	Angeletos-Hellwig-Pavan frame currency attacks, debt crises, bank runs, and political change as regime-change games with attack timing and multiplicity; see tmp/citation_audit_text/angeletos2007a.txt:7-25.	Econometrica 75(3):711-756, 2007 matches local source metadata.	Supported
paper.tex:102	"unique threshold equilibrium" with sufficiently precise private signals	carlsson1993; morris2003	Morris-Shin show unique symmetric switching/cutoff strategies in private-signal global games; see tmp/citation_audit_text/morris2003.txt:361-388,427-453,724-728.	Carlsson and Morris bibliography details match local source metadata.	Supported
paper.tex:108	"embedded in the Morris game"; agents receive private signal x_i = theta + epsilon_i	morris2003	Morris-Shin model players observing private signals of theta plus noise; see tmp/citation_audit_text/morris2003.txt:177-182,664-676.	Bibliography item correct.	Supported
paper.tex:116	"dynamic extensions" of global games	angeletos2007a; chassang2010	Angeletos-Hellwig-Pavan is explicitly "Dynamic Global Games of Regime Change"; Chassang studies dynamic global games with exit and miscoordination; see tmp/citation_audit_text/chassang2010.txt:1-17,48-58.	Both Econometrica entries match local/source metadata; Chassang DOI present.	Supported
paper.tex:104	"laboratory experiments confirm threshold behavior with stylized numeric signals"	heinemann2004; heinemann2009; shurchkov2013; szkup2020; helland2021	Heinemann et al. 2004 report threshold strategies in public/private-information coordination games; Szkup-Trevino and Helland et al. report widespread cutoff/threshold behavior while documenting departures from standard equilibrium comparative statics; see tmp/citation_audit_text/heinemann2004.txt:56-73; tmp/citation_audit_text/szkup2020.txt:66-70; tmp/citation_audit_text/helland2021.txt:76-84.	Heinemann 2004/2009, Szkup-Trevino 2020, and Helland et al. 2021 entries match local source metadata; Shurchkov corrected from Experimental Economics 16(2) to 16(3):313-334 with DOI 10.1007/s10683-012-9339-3.	Supported, with nuance that several experiments show threshold/cutoff behavior but also non-BNE deviations
paper.tex:118	"preference falsification under social pressure"	kuran1991	Kuran models public preference as shaped by likely impact plus social rewards/punishments and explains concealed dissent under pressure; see tmp/citation_audit_text/kuran1991.txt:515-530,739-745.	World Politics 44(1):7-48, 1991 matches local source metadata.	Supported
