analyst_model,corpus,arm,country,period,theta,theta_star,coup_success,n_senders_shown,jf_true_shown,n_join_true_shown,fall_est,join_pct_est,n_sender_parsed,n_sender_imputed_p,sender_accuracy,n_top5_join_true,parse_ok_fall,parse_ok_join_pct,api_error
qwen/qwen3.7-plus,coded,direct,0,1,0.27413995296177207,,,25,,,20.0,0.0,25,0,,,True,True,False
qwen/qwen3.7-plus,coded,direct,0,3,-0.05931788553484087,,,25,,,20.0,12.0,25,0,,,True,True,False
qwen/qwen3.7-plus,coded,direct,0,7,0.26474965699684816,,,25,,,20.0,36.0,25,0,,,True,True,False
qwen/qwen3.7-plus,coded,direct,0,9,-0.15891057641466977,,,25,,,15.0,0.0,25,0,,,True,True,False
qwen/qwen3.7-plus,coded,direct,0,11,-0.17761207514838723,,,25,,,30.0,0.0,25,0,,,True,True,False
qwen/qwen3.7-plus,coded,direct,0,12,0.39635098434182814,,,25,,,25.0,0.0,25,0,,,True,True,False
qwen/qwen3.7-plus,coded,direct,0,16,0.2964098962195181,,,25,,,5.0,0.0,25,0,,,True,True,False
qwen/qwen3.7-plus,coded,direct,0,22,0.461174717853195,,,25,,,10.0,0.0,25,0,,,True,True,False
qwen/qwen3.7-plus,coded,direct,0,23,0.3403385328121334,,,25,,,15.0,0.0,25,0,,,True,True,False
qwen/qwen3.7-plus,coded,direct,0,27,0.09467516706652017,,,25,,,25.0,0.0,25,0,,,True,True,False
qwen/qwen3.7-plus,coded,direct,0,29,0.3689343178407862,,,25,,,15.0,0.0,25,0,,,True,True,False
qwen/qwen3.7-plus,coded,direct,0,30,0.14927110332851345,,,25,,,20.0,8.0,25,0,,,True,True,False
qwen/qwen3.7-plus,coded,direct,0,31,0.32117046802430793,,,25,,,15.0,0.0,25,0,,,True,True,False
qwen/qwen3.7-plus,coded,direct,0,34,-0.19641443478209278,,,25,,,40.0,12.0,25,0,,,True,True,False
qwen/qwen3.7-plus,coded,direct,0,36,0.23853137419688883,,,25,,,20.0,4.0,25,0,,,True,True,False
qwen/qwen3.7-plus,coded,direct,0,37,-0.010820192566592751,,,25,,,35.0,0.0,25,0,,,True,True,False
qwen/qwen3.7-plus,coded,direct,0,39,0.5899429458324532,,,25,,,5.0,0.0,25,0,,,True,True,False
qwen/qwen3.7-plus,coded,direct,0,40,0.2172365040016686,,,25,,,15.0,8.0,25,0,,,True,True,False
qwen/qwen3.7-plus,coded,direct,0,45,0.07173313772629476,,,25,,,20.0,12.0,25,0,,,True,True,False
qwen/qwen3.7-plus,coded,direct,0,46,-0.07351007756029697,,,25,,,20.0,0.0,25,0,,,True,True,False
qwen/qwen3.7-plus,coded,direct,0,49,0.19311031782714647,,,25,,,15.0,0.0,25,0,,,True,True,False
qwen/qwen3.7-plus,coded,direct,0,54,-0.11872415122547013,,,25,,,40.0,8.0,25,0,,,True,True,False
qwen/qwen3.7-plus,coded,direct,0,57,0.5992233671774452,,,25,,,20.0,0.0,25,0,,,True,True,False
qwen/qwen3.7-plus,coded,direct,0,60,0.12805500351284133,,,25,,,30.0,0.0,25,0,,,True,True,False
qwen/qwen3.7-plus,coded,direct,0,61,0.05341884334955335,,,25,,,20.0,0.0,25,0,,,True,True,False
qwen/qwen3.7-plus,coded,direct,0,62,0.48766930165836686,,,25,,,15.0,0.0,25,0,,,True,True,False
