analyst_model,corpus,arm,country,period,theta,theta_star,coup_success,n_senders_shown,jf_true_shown,n_join_true_shown,fall_est,join_pct_est,n_sender_parsed,n_sender_imputed_p,sender_accuracy,n_top5_join_true,parse_ok_fall,parse_ok_join_pct,api_error
meta-llama/llama-4-maverick-17b-128e-instruct,nested,surveillance,0,6,-1.0228733453805763,0.5,True,10,0.9,9,70.0,60.0,10,0,0.3,4,True,True,False
meta-llama/llama-4-maverick-17b-128e-instruct,nested,surveillance,0,8,1.4514390127670076,0.5,False,10,0.0,0,0.0,0.0,10,0,1.0,0,True,True,False
meta-llama/llama-4-maverick-17b-128e-instruct,nested,surveillance,0,13,-0.8930585297314593,0.5,True,10,0.9,9,65.0,60.0,10,0,0.8,5,True,True,False
meta-llama/llama-4-maverick-17b-128e-instruct,nested,surveillance,0,16,0.2964098962195181,0.5,False,10,0.0,0,20.0,0.0,10,0,1.0,0,True,True,False
meta-llama/llama-4-maverick-17b-128e-instruct,nested,surveillance,0,20,-0.7665054199611054,0.5,True,10,0.9,9,80.0,70.0,10,0,0.6,4,True,True,False
meta-llama/llama-4-maverick-17b-128e-instruct,nested,surveillance,0,28,-1.5072403235405762,0.5,True,10,1.0,10,80.0,80.0,10,0,0.8,5,True,True,False
meta-llama/llama-4-maverick-17b-128e-instruct,nested,surveillance,0,32,-0.5250476615988334,0.5,True,10,0.7,7,65.0,60.0,10,0,0.6,4,True,True,False
meta-llama/llama-4-maverick-17b-128e-instruct,nested,surveillance,0,35,1.5852483184685613,0.5,False,10,0.0,0,0.0,0.0,10,0,1.0,0,True,True,False
meta-llama/llama-4-maverick-17b-128e-instruct,nested,surveillance,0,37,-0.010820192566592751,0.5,True,10,0.0,0,20.0,0.0,10,0,1.0,0,True,True,False
meta-llama/llama-4-maverick-17b-128e-instruct,nested,surveillance,0,39,0.5899429458324532,0.5,False,10,0.0,0,0.0,0.0,10,0,1.0,0,True,True,False
