model_key,model,arm,arm_id,output_dir,agent_rows,agents_exists,api_error_rate,expected_rows_match,missing_agent_columns,missing_period_columns,parse_error_rate,pass,period_rows,periods_exists,surveillance_leak_pass
qwen30,Qwen3-30B-A3B,pure,large_random_pure_qwen30,/Users/khaled/GitHub/llm-global-games/CLEAN_RUN/output/random_theta_pilot_large/large_random_pure_qwen30,2500,True,0.0,True,[],[],0.0,True,250,True,True
qwen30,Qwen3-30B-A3B,scramble,large_random_scramble_qwen30,/Users/khaled/GitHub/llm-global-games/CLEAN_RUN/output/random_theta_pilot_large/large_random_scramble_qwen30,2500,True,0.0,True,[],[],0.0,True,250,True,True
qwen30,Qwen3-30B-A3B,flip,large_random_flip_qwen30,/Users/khaled/GitHub/llm-global-games/CLEAN_RUN/output/random_theta_pilot_large/large_random_flip_qwen30,2500,True,0.0,True,[],[],0.0,True,250,True,True
qwen30,Qwen3-30B-A3B,comm,large_random_comm_baseline_qwen30,/Users/khaled/GitHub/llm-global-games/CLEAN_RUN/output/random_theta_pilot_large/large_random_comm_baseline_qwen30,2500,True,0.0,True,[],[],0.0,True,250,True,True
qwen30,Qwen3-30B-A3B,surveillance,large_random_surv_sender_only_qwen30,/Users/khaled/GitHub/llm-global-games/CLEAN_RUN/output/random_theta_pilot_large/large_random_surv_sender_only_qwen30,2500,True,0.0096,True,[],[],0.0096,True,250,True,True
qwen30,Qwen3-30B-A3B,direct,large_random_direct_replay_qwen30,/Users/khaled/GitHub/llm-global-games/CLEAN_RUN/output/random_theta_pilot_large/large_random_direct_replay_qwen30,2500,True,0.0,True,[],[],0.0,True,250,True,True
qwen30,Qwen3-30B-A3B,coded,large_random_coded_replay_qwen30,/Users/khaled/GitHub/llm-global-games/CLEAN_RUN/output/random_theta_pilot_large/large_random_coded_replay_qwen30,2500,True,0.0,True,[],[],0.0,True,250,True,True
deepseekv4,DeepSeek V4 Flash,pure,large_random_pure_deepseekv4,/Users/khaled/GitHub/llm-global-games/CLEAN_RUN/output/random_theta_pilot_large_deepseek/large_random_pure_deepseekv4,2500,True,0.0,True,[],[],0.0,True,250,True,True
deepseekv4,DeepSeek V4 Flash,scramble,large_random_scramble_deepseekv4,/Users/khaled/GitHub/llm-global-games/CLEAN_RUN/output/random_theta_pilot_large_deepseek/large_random_scramble_deepseekv4,2500,True,0.0,True,[],[],0.0,True,250,True,True
deepseekv4,DeepSeek V4 Flash,flip,large_random_flip_deepseekv4,/Users/khaled/GitHub/llm-global-games/CLEAN_RUN/output/random_theta_pilot_large_deepseek/large_random_flip_deepseekv4,2500,True,0.0,True,[],[],0.0,True,250,True,True
deepseekv4,DeepSeek V4 Flash,comm,large_random_comm_baseline_deepseekv4,/Users/khaled/GitHub/llm-global-games/CLEAN_RUN/output/random_theta_pilot_large_deepseek/large_random_comm_baseline_deepseekv4,2500,True,0.0,True,[],[],0.0,True,250,True,True
deepseekv4,DeepSeek V4 Flash,surveillance,large_random_surv_sender_only_deepseekv4,/Users/khaled/GitHub/llm-global-games/CLEAN_RUN/output/random_theta_pilot_large_deepseek/large_random_surv_sender_only_deepseekv4,2500,True,0.0,True,[],[],0.0,True,250,True,True
deepseekv4,DeepSeek V4 Flash,direct,large_random_direct_replay_deepseekv4,/Users/khaled/GitHub/llm-global-games/CLEAN_RUN/output/random_theta_pilot_large_deepseek/large_random_direct_replay_deepseekv4,2500,True,0.0,True,[],[],0.0,True,250,True,True
deepseekv4,DeepSeek V4 Flash,coded,large_random_coded_replay_deepseekv4,/Users/khaled/GitHub/llm-global-games/CLEAN_RUN/output/random_theta_pilot_large_deepseek/large_random_coded_replay_deepseekv4,2500,True,0.0,True,[],[],0.0,True,250,True,True
gemma4,Gemma 4 26B A4B,pure,large_random_pure_gemma4,/Users/khaled/GitHub/llm-global-games/CLEAN_RUN/output/random_theta_pilot_large_gemma4/large_random_pure_gemma4,2500,True,0.0,True,[],[],0.0,True,250,True,True
